fishid,waterbody,reading,reader,rep,light_type,id,agecap,ann,rad,radcap
NAR061119003,NAR,LSR_1,LSR,1,R,R-NAR061119003,2,2,0.4630708817407656,0.5427790013721847
NAR061119003,NAR,MJS_1,MJS,1,R,R-NAR061119003,2,1,0.3874610810810145,0.6033233688659096
NAR061119003,NAR,MJS_1,MJS,1,R,R-NAR061119003,2,2,0.5234576725263188,0.6033233688659096
NAR061119004,NAR,CJF_1,CJF,1,R,R-NAR061119004,1,1,0.7056016601467221,0.7376407493046382
NAR061119004,NAR,CJF_2,CJF,2,R,R-NAR061119004,2,1,0.503187704480351,0.6660913567793112
NAR061119004,NAR,CJF_2,CJF,2,R,R-NAR061119004,2,2,0.6660913567793112,0.6660913567793112
NAR061119004,NAR,CJF_3,CJF,3,R,R-NAR061119004,2,1,0.5104189093188864,0.6890827839156702
NAR061119004,NAR,CJF_3,CJF,3,R,R-NAR061119004,2,2,0.6890827839156702,0.6890827839156702
NAR061119004,NAR,JRS_1,JRS,1,R,R-NAR061119004,2,1,0.39677499983450754,0.6607820848611857
NAR061119004,NAR,JRS_1,JRS,1,R,R-NAR061119004,2,2,0.5039706649194193,0.6607820848611857
NAR061119004,NAR,LEL_1,LEL,1,R,R-NAR061119004,1,1,0.4077860116950787,0.4836329452297168
NAR061119004,NAR,LSR_1,LSR,1,R,R-NAR061119004,2,1,0.40298530418563683,0.6494491985269104
NAR061119004,NAR,LSR_1,LSR,1,R,R-NAR061119004,2,2,0.5028117257620142,0.6494491985269104
NAR061119004,NAR,MJS_1,MJS,1,R,R-NAR061119004,1,1,0.5416867716990431,0.6994835284865866
NAR061119005,NAR,CJF_1,CJF,1,R,R-NAR061119005,3,1,0.5403794672383215,0.9465510883701272
NAR061119005,NAR,CJF_1,CJF,1,R,R-NAR061119005,3,2,0.7790520815960298,0.9465510883701272
NAR061119005,NAR,CJF_1,CJF,1,R,R-NAR061119005,3,3,0.9262599889193005,0.9465510883701272
NAR061119005,NAR,CJF_2,CJF,2,R,R-NAR061119005,3,1,0.5579276313104803,0.9542933435392209
NAR061119005,NAR,CJF_2,CJF,2,R,R-NAR061119005,3,2,0.7968767692353845,0.9542933435392209
NAR061119005,NAR,CJF_2,CJF,2,R,R-NAR061119005,3,3,0.9542933435392209,0.9542933435392209
NAR061119005,NAR,CJF_3,CJF,3,R,R-NAR061119005,3,1,0.4949971469008695,0.8914939256947828
NAR061119005,NAR,CJF_3,CJF,3,R,R-NAR061119005,3,2,0.7391417517200802,0.8914939256947828
NAR061119005,NAR,CJF_3,CJF,3,R,R-NAR061119005,3,3,0.8914939256947828,0.8914939256947828
NAR061119005,NAR,JRS_1,JRS,1,R,R-NAR061119005,2,1,0.5233124413993745,0.9139038082314792
NAR061119005,NAR,JRS_1,JRS,1,R,R-NAR061119005,2,2,0.7651900129021794,0.9139038082314792
NAR061119005,NAR,LEL_1,LEL,1,R,R-NAR061119005,2,1,0.34148405471830257,0.5518286662749867
NAR061119005,NAR,LEL_1,LEL,1,R,R-NAR061119005,2,2,0.48469534726098684,0.5518286662749867
NAR061119005,NAR,LSR_1,LSR,1,R,R-NAR061119005,2,1,0.4135810855024081,0.6226461825303305
