fishid,radcap
ANX091818A002,0.7737791188289458
ANX091818A003,0.6804091850400655
ANX091818A005,0.6411462933212748
ANX091818A006,0.7412647843760639
ANX091818A009,0.5476599427513171
ANX091818A010,0.5650640860101369
ANX091818A011,0.6475189866010878
ANX091818A012,0.5811188476071378
ANX091818A013,0.527300765495989
ANX091818A014,0.618445300006675
ANX091818A015,0.48889956465919077
ANX091818A016,0.4309655836319763
ANX091818A017,0.6371871480738086
ANX091818A018,0.4511986778721547
ANX091818A020,0.48864450665281683
ANX091818A021,0.4190367815899435
ANX091818A023,0.47036611384825877
ANX091818A024,0.6317828106954642
ANX091818A025,0.6917023137115929
ANX091818A026,0.39469813113831426
ANX091818A027,0.6814533720107725
ANX091818A028,0.6579605434768248
ANX091818A029,0.687391200791861
ANX091818A030,0.5963079684041628
ANX091818A031,0.5663855426837466
ANX091818A033,0.6105902809903566
ANX091818A034,0.5025761467965405
ANX091818A036,0.5349892727359364
ANX091818A037,0.47775601154222586
ANX091818A038,0.8807393004198671
ANX091818A039,0.5086137078026487
ANX091818A040,1.0446842480226763
ANX091818A041,0.4910617718435211
ANX091818A042,0.42532438161936853
ANX091818A043,0.5961068259431718
ANX091818A044,0.43879085830700404
ANX091818A045,0.35390533059996765
ANX091818A046,0.6208153499193373
ANX091818A047,0.8186621586507359
ANX091818A048,0.6308244022609134
ANX091818A049,0.6125123354981629
ANX091818A051,0.8046073613468833
ANX091818A052,1.3208487614049937
ANX091818A053,1.085418492187584
ANX091818A054,0.5996402216375245
ANX091818A055,0.33167003520392363
ANX091818A056,0.39173581741691016
ANX091818A057,0.4590807399125355
ANX091818A058,0.49922442759268276
ANX091818A060,0.5005508554051289
ANX091818A061,0.7384610877430778
ANX091818A062,0.5351830897617773
ANX091818A063,0.5346341023449444
ANX091818A064,0.6271944075640934
ANX091818A065,0.8571928233841426
ANX091818A066,0.4743745426400785
ANX091818A067,0.6192689490207822
ANX091818A068,0.6100152945934353
ANX091818A069,0.4944343506527299
ANX091818A070,0.552103158726545
ANX091818A071,0.41740229807666185
ANX091818A072,0.7868535121249239
ANX091818A073,0.7049095686927145
ANX091818A074,0.6184202304964362
ANX091818A076,0.778328851083663
ANX091818A077,0.4767817340917953
ANX091818A078,0.5484566937617373
ANX091818A079,0.43813917713585143
ANX091818A080,0.46056434062245294
ANX091818A081,0.42683988587247806
ANX091818A082,0.5652513846467869
ANX091818A083,0.6289409621905053
ANX091818A084,0.6745370876842436
ANX091818A085,0.45257635952480924
ANX091818A087,0.5431835729144753
ANX091818A088,0.4030278583129092
ANX091818A089,0.5025474590291704
ANX091818A090,0.4382662650506942
ANX091818A091,0.5198945694126949
ANX091818A092,0.5515252572750045
ANX091818A093,0.48885953073822297
ANX091818A094,0.5050628107644284
ANX091818A095,0.649403825505344
ANX091818A096,0.4712007834527385
ANX091818A097,0.44693434876932725
ANX091818A098,0.5268086102043195
ANX091818A099,0.5356864816600432
ANX091818A100,0.553711730754576
ANX091818A101,0.4333018310249508
ANX091818A102,0.33935973902844335
ANX091818A103,0.49355200744472894
ANX091818A104,0.49257700223367623
ANX091818A105,0.5782080851250923
ANX091818A106,0.626403442652564
ANX091818A108,0.500959707129514
ANX091818A110,0.43550647729538106
ANX091818A111,0.40445054940447334
ANX091818A112,0.439169080312746
ANX091818A113,0.578394526509907
ANX091818A114,0.5213577806947964
ANX091818A115,0.33104063988298915
ANX091818J001,0.49074907808202856
ANX091818J003,0.3294165440946751
ANX091818J004,0.3772639760711748
ANX091818J005,0.3741836244199678
ANX091818J006,0.3495984912207486
ANX091818J007,0.30501306444307175
ANX091818J008,0.31493952008968945
ANX091818J009,0.3139981043088397
ANX091818J010,0.28761800942579474
ANX091818J011,0.3726063738016245
ANX091818J012,0.28338475562587184
ANX091818J013,0.3236089674370957
ANX091818J014,0.2910605892884952
ANX091818J015,0.2972757673188528
ANX091818J016,0.34067801231161304
ANX091818J017,0.2876085033718612
ANX091818J018,0.33158375980556454
ANX091818J019,0.31729279600985755
ANX091818J020,0.3068413703272731
ANX091818J022,0.3758298162610597
ANX091818J023,0.30339390488507334
ANX091818J024,0.4606509143263274
ANX102518A003,0.6831232064506897
ANX102518A004,0.7158393922542672
ANX102518A005,0.6883939610969441
ANX102518A006,0.6178682265277387
ANX102518A007,0.5653303246301671
ANX102518A008,0.7075625193527898
ANX102518A009,0.6930677712375035
ANX102518A010,0.7447200409566274
ANX102518A011,0.7065593486419326
ANX102518A012,0.737344023173505
ANX102518A014,0.7070056830586209
ANX102518A015,0.6816882872607637
ANX102518A016,0.8077160152052332
ANX102518J001,0.3367731110312336
ANX102518J002,0.3536674376777691
ANX102518J004,0.3359322995729013
ANX102518J006,0.36318334757734744
ANX102518J007,0.38719766480814455
ANX102518J008,0.40631080844884654
ANX102518J009,0.39014985286527687
ANX102518J010,0.36485373700134066
ANX102518J011,0.3567289075437945
ANX102518J012,0.601878602246749
ANX102518J014,0.4056816534647988
ANX102518J015,0.6104983799842687
ANX102518J016,0.5515916910769764
ANX102518J017,0.366126012969106
ANX102518J018,0.634651903058962
ANX102518J019,0.4258089307656834
ANX102518J020,0.3712766689187482
ANX102518J021,0.40238000456971357
ANX102518J022,0.4197946234496091
ANX102518J023,0.5649474751509859
ANX102518J024,0.5513090302133478
ANX102518J025,0.5376323773781475
ANX111218J001,0.32344301602505576
ANX111218J003,0.38256733187988945
ANX111218J004,0.36345405675940584
ANX112018A001,0.8311679914712126
ANX112018A002,0.6949955884209108
ANX112018A003,0.7636011383921946
ANX112018A004,0.6342099196813482
ANX112018A005,0.6131575568948477
ANX112018A007,0.5530278360431065
ANX112018A008,0.7374965215128712
ANX112018A009,0.6370434342450422
JAX111419001,0.8944841911714663
JAX111419002,0.5163730262769506
JAX111419003,0.7540764181341957
JAX111419004,0.6684354428899142
JAX111419005,0.731501791895842
JAX111419006,0.610212582985201
JAX111419007,0.7162693125934935
JAX111419008,0.6824826168207259
JAX111419009,0.7114533689676472
JAX111419010,0.6856002125609214
JAX111419011,0.6918215075219162
JAX111419012,1.029837268423301
JAX111419013,0.7276718196152517
JAX111419014,0.5641316205409137
JAX111419015,0.5291039441634521
JAX111419016,0.5736670699282584
JAX111419017,0.8428887582938397
JAX111419018,0.6442097624579681
JAX111419019,0.5062212849581682
JAX111419020,0.5564190819763286
JAX111419021,0.6880165247859853
JAX111419022,0.6329682299753598
JAX111419023,0.6583134771102542
JAX111419024,0.8059614059987672
JAX111419025,0.5891726547554431
JAX111419026,0.45392260211814167
JAX111419027,0.5297320042213771
JAX111419028,0.4272282826393501
JAX111419029,0.4429839070483287
JAX111419030,0.45930625403875514
JAX111419031,0.2298603127465448
JAX111419032,0.6422975070303605
JAX111419033,0.4738304613703609
JAX111419034,0.6442002675230395
JAX111419035,0.7748388442260599
JAX111419036,0.5915786628629522
JAX111419037,0.7149702637181187
JAX111419038,0.7826633909102139
JAX111419039,0.9497125792151201
JAX111419040,0.6132227450216459
JAX111419041,0.8363235906140849
JAX111419042,0.7110903316845217
JAX111419043,1.01410357890204
JAX111419044,0.7092815504812515
JAX111419045,0.5489714787585742
JAX111419046,0.6330279607395217
JAX111419047,0.5820228015310293
JAX111419048,0.6085487923355539
JAX111419049,0.679518552280429
JAX111419050,0.6056036129169035
