fishid,waterbody,reading,reader,rep,light_type,id,agecap,ann,rad,radcap
M092518J025,M09,NGA_2,NGA,2,J,JUM092518J025,0,NA,NA,0.6100911907741677
M092518J026,M09,JRS_1,JRS,1,J,JUM092518J026,0,NA,NA,0.3461122234478411
M092518J026,M09,NGA_1,NGA,1,J,JUM092518J026,0,NA,NA,0.6293349584795449
M092518J026,M09,NGA_2,NGA,2,J,JUM092518J026,0,NA,NA,0.6194722516769634
M092518J027,M09,JRS_1,JRS,1,J,JUM092518J027,0,NA,NA,0.33342888630592743
M092518J027,M09,NGA_1,NGA,1,J,JUM092518J027,0,NA,NA,0.5505810253292487
M092518J027,M09,NGA_2,NGA,2,J,JUM092518J027,0,NA,NA,0.49061294692518775
M092518J028,M09,JRS_1,JRS,1,J,JUM092518J028,0,NA,NA,0.33664937453800836
M092518J028,M09,NGA_1,NGA,1,J,JUM092518J028,0,NA,NA,0.5513758328674495
M092518J028,M09,NGA_2,NGA,2,J,JUM092518J028,0,NA,NA,0.4971725727961922
M092518J029,M09,JRS_1,JRS,1,J,JUM092518J029,0,NA,NA,0.41867122187040345
M092518J029,M09,NGA_1,NGA,1,J,JUM092518J029,0,NA,NA,0.5457556788313858
M092518J029,M09,NGA_2,NGA,2,J,JUM092518J029,0,NA,NA,0.5281664794130527
M092518J030,M09,JRS_1,JRS,1,J,JUM092518J030,0,NA,NA,0.3800738024372448
M092518J030,M09,NGA_1,NGA,1,J,JUM092518J030,0,NA,NA,0.5461986123737134
M092518J030,M09,NGA_2,NGA,2,J,JUM092518J030,0,NA,NA,0.6073227085931441
M092518J031,M09,JRS_1,JRS,1,J,JUM092518J031,0,NA,NA,0.42452887374703807
M092518J031,M09,NGA_1,NGA,1,J,JUM092518J031,0,NA,NA,0.5123000296339586
M092518J031,M09,NGA_2,NGA,2,J,JUM092518J031,0,NA,NA,0.526772168567821
M092518J032,M09,JRS_1,JRS,1,J,JUM092518J032,0,NA,NA,0.3223690079597124
M092518J032,M09,NGA_1,NGA,1,J,JUM092518J032,0,NA,NA,0.44899382150152023
M092518J032,M09,NGA_2,NGA,2,J,JUM092518J032,0,NA,NA,0.4207857374322864
M092518J033,M09,JRS_1,JRS,1,J,JUM092518J033,0,NA,NA,0.34581798542765796
M092518J033,M09,NGA_1,NGA,1,J,JUM092518J033,0,NA,NA,0.5587046688503453
