fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24,date,date2
NAR041221020,NAR,CJF_1,CJF,1,R,R-NAR041221020,6,1.0359875999076835,0.3745647943201168,0.614710411581544,0.7455256572102208,0.8477175232750229,0.9410035967029089,1.0359875999076835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221021,NAR,CJF_1,CJF,1,R,R-NAR041221021,8,1.613303263077854,0.6108163111554753,0.7947894056585272,0.9636077319074896,1.1281412164030968,1.2827642546039728,1.3903853102125907,1.4875833602498143,1.613303263077854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221022,NAR,CJF_1,CJF,1,R,R-NAR041221022,16,1.6866126875301193,0.48661362420496396,0.6510665335330882,0.768959240927887,0.8688247485739488,0.9694665497534848,1.0520811511842851,1.1369038642045766,1.203759761981599,1.2653023740352274,1.3464247729045435,1.4072514759301644,1.4770917788301525,1.541679180512215,1.5792257825711735,1.6212489923145816,1.6866126875301193,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221023,NAR,CJF_1,CJF,1,R,R-NAR041221023,11,1.2889155955372462,0.2777332227057001,0.529547666500584,0.6625328417058368,0.7509061084000043,0.8588914426933909,0.9525731743684168,1.028333018439388,1.0942471745448552,1.1706989522802493,1.2201543964422965,1.2889155955372462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221024,NAR,CJF_1,CJF,1,R,R-NAR041221024,5,0.9413681960619188,0.41091206802442026,0.5939051395065891,0.6992939900544304,0.8024989021303848,0.9413681960619188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041221025,NAR,CJF_1,CJF,1,R,R-NAR041221025,19,1.6414911724810752,0.3739734913033453,0.5307147136930178,0.6755108843138273,0.7703110388155652,0.8649591413874698,0.961782276005276,1.0313943575351863,1.114974470950028,1.1853115631619064,1.256373666055751,1.2801117176636438,1.3183147339436858,1.3503727839106043,1.4047188641214805,1.4757809670153257,1.5161590153412705,1.5684060894711616,1.6011131241551304,1.6414911724810752,NA,NA,NA,NA,NA,041221,2021-04-12
NAR041321001,NAR,CJF_1,CJF,1,R,R-NAR041321001,1,0.5638790113147377,0.5638790113147377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321002,NAR,CJF_1,CJF,1,R,R-NAR041321002,1,0.612710650569751,0.612710650569751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321003,NAR,CJF_1,CJF,1,R,R-NAR041321003,2,0.7776844138639588,0.5530030270431346,0.7776844138639588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321004,NAR,CJF_1,CJF,1,R,R-NAR041321004,11,1.350043089197291,0.49177723154678904,0.6441918417251891,0.7729334919984716,0.8617189024807101,0.934226938496047,1.0151213623432465,1.0886172480427185,1.1556994925690875,1.222289288608145,1.286906337988442,1.350043089197291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
