fishid,id,light_type,reading,rep,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,waterbody
NAR061119004,R-NAR061119004,R,LSR_1,1,2,0.6494491985269104,0.40298530418563683,0.5028117257620142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119004,R-NAR061119004,R,MJS_1,1,1,0.6994835284865866,0.5416867716990431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119005,R-NAR061119005,R,CJF_1,1,3,0.936939736202693,0.5295879868111881,0.7629873238141816,0.936939736202693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119005,R-NAR061119005,R,CJF_2,2,3,0.9542933435392209,0.5579276313104803,0.7968767692353845,0.9542933435392209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119005,R-NAR061119005,R,CJF_3,3,3,0.8914939256947828,0.4949971469008695,0.7391417517200802,0.8914939256947828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119005,R-NAR061119005,R,JRS_1,1,2,0.9139038082314792,0.5233124413993745,0.7651900129021794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119005,R-NAR061119005,R,LEL_1,1,2,0.5518286662749867,0.34148405471830257,0.48469534726098684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119005,R-NAR061119005,R,LSR_1,1,2,0.6226461825303305,0.4135810855024081,0.5326558662773542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119005,R-NAR061119005,R,MJS_1,1,2,0.8398837692667653,0.44792846067642816,0.6771048701027564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119006,R-NAR061119006,R,CJF_1,1,5,1.034469469633087,0.5449782919681792,0.7264795290248314,0.8400272791725281,0.9585214548524894,1.034469469633087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119006,R-NAR061119006,R,CJF_2,2,5,1.079954629888075,0.5774534369374746,0.7552913914165601,0.8905787723133639,1.0107713374490128,1.079954629888075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119006,R-NAR061119006,R,CJF_3,3,5,1.0868978780957004,0.5475752579179148,0.7583900775002094,0.8721018964311682,0.9943566666779109,1.0868978780957004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119006,R-NAR061119006,R,JRS_1,1,4,1.0896627517399058,0.5782199937294221,0.7696970966639436,0.8950248265183476,0.9909203436453132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119006,R-NAR061119006,R,LEL_1,1,4,1.0791042201740277,0.6005304527280922,0.7610976847450558,0.8844933034811112,0.9923627474737842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119006,R-NAR061119006,R,LSR_1,1,4,0.7043546724248507,0.34504675066818447,0.4608014029216742,0.562079190217913,0.6298134089508476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119006,R-NAR061119006,R,MJS_1,1,4,0.736898864863385,0.38561331377107727,0.5222501208978818,0.6221989710019331,0.6819617555146318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119007,R-NAR061119007,R,CJF_1,1,14,1.5298017213442017,0.48978575627605975,0.6564177644513953,0.779824381613807,0.8757239317679938,0.9755530629233552,1.0573238951988297,1.1273059844707802,1.185499330739205,1.2601613697615288,1.322284297031129,1.3976967048026523,1.4589803946954636,1.4959362298320262,1.5298017213442017,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119007,R-NAR061119007,R,CJF_2,2,14,1.6439977517519195,0.5655674033907859,0.7500863260146147,0.8708510523777592,0.9763132873709289,1.059070993665767,1.1471489874739738,1.229248322598677,1.2886431290250469,1.3630379003124697,1.4401194744327241,1.5172010485529785,1.5732506809763833,1.6012754971880856,1.6439977517519195,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119007,R-NAR061119007,R,CJF_3,3,13,1.6006614221257234,0.4990201073424814,0.7132554114850445,0.8322818561380841,0.9487914790110894,1.025216396897166,1.0907322523944516,1.1601855474990652,1.236610465385142,1.317165770398093,1.3901706100709417,1.4589135962619082,1.5369520794948253,1.6006614221257234,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119007,R-NAR061119007,R,JRS_1,1,12,1.6628379137212461,0.6076146514224362,0.7635131643944238,0.8995367852177569,0.9861912295058546,1.067519206972115,1.1496686899531905,1.234070653587778,1.299419230588525,1.367841793757599,1.4553177435605122,1.5313192542049356,1.608142270364173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119007,R-NAR061119007,R,LEL_1,1,10,1.5484971423016893,0.7048035714821999,0.8287246802506321,0.9296186272635135,1.0176001215170518,1.091172273954361,1.165863523896923,1.2296987588896566,1.2965277719961608,1.3715968134903547,1.450778730603575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119007,R-NAR061119007,R,LSR_1,1,10,1.637212030543686,0.7326093560254932,0.8569920074382882,0.9551879266233104,1.0474346757579083,1.129562643803831,1.1980040593984764,1.2616826776174799,1.337861475612979,1.4176080449710817,1.4914054442787597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119007,R-NAR061119007,R,MJS_1,1,12,1.6536782671460672,0.5747888899300703,0.7266442291231818,0.8663806135019612,0.9669228474003317,1.057430103175482,1.1395428017369205,1.207896124574519,1.282308924819283,1.3490218267473728,1.4304398664117743,1.4964581094428269,1.577625045991794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119008,R-NAR061119008,R,CJF_1,1,14,1.5379150431385171,0.6155399864602661,0.7384609991498899,0.841028501771888,0.9228425181843251,0.9882402366272541,1.0521030678451289,1.132382197032513,1.197779915475441,1.2386869236816598,1.293140443478249,1.3646777108213892,1.4307428788413599,1.4961405972842885,1.5379150431385171,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119008,R-NAR061119008,R,CJF_2,2,14,1.5682328384071187,0.48001050012499324,0.6491846802543566,0.7634422508430709,0.8809310100712117,0.9681459086765225,1.0317370712497331,1.0904345140358342,1.1610376984939241,1.218166483788281,1.2619147435748443,1.3317805361150314,1.4016463286552188,1.4729869050312108,1.5682328384071187,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119008,R-NAR061119008,R,CJF_3,3,14,1.422548458893169,0.36009440687879535,0.5096186109756418,0.64509974277074,0.7494658529061312,0.8308192407798028,0.8852705286842912,0.9641388460806738,1.0252881261529747,1.0893561519835568,1.1434838959049842,1.193722262118948,1.2662161313305789,1.3383864565591483,1.422548458893169,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119008,R-NAR061119008,R,JRS_1,1,13,1.5659952282129612,0.5167903807861063,0.6794348155336548,0.7908096570338017,0.9222059200720664,0.9879040515911982,1.0347763091551248,1.0960771049907818,1.1669832651281282,1.23268139664726,1.2763518661106232,1.3348357284938908,1.4129561577671021,1.4890703465226625,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119008,R-NAR061119008,R,LEL_1,1,11,1.5411293303680191,0.6443039515797616,0.7770012784627907,0.9064991642310722,1.0004594577835524,1.0792021298080707,1.1263443432180127,1.2075348000177009,1.248395484856016,1.2975579599689544,1.3811962015438126,1.4722811872489505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119008,R-NAR061119008,R,LSR_1,1,12,1.562949472453822,0.6504994383698363,0.7736573978168814,0.8770185391753421,0.9593081362728255,1.029065381293394,1.0850155480646553,1.1607625329245024,1.2299669055467115,1.28519521854394,1.3687595418138157,1.4555951712025097,1.516260351640656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
