fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24
RGR040919001,RGR,CJF_1,CJF,1,R,R-RGR040919001,24,2.522652265600743,0.5668270780012489,0.8748860952871831,0.9863439554223845,1.0644293181752862,1.1483326936595135,1.249690107337719,1.330226667336281,1.4107632273348434,1.4738457491394268,1.5485642964066628,1.6208316464282377,1.698001390941135,1.7552659000143922,1.8309000655216323,1.8814309436235594,1.9356242946855031,2.0210632491753877,2.0991486119282885,2.1738671591955248,2.280126967365052,2.349027501900962,2.3989384192372367,2.4684589145387994,2.522652265600743
RGR040919002,RGR,CJF_1,CJF,1,R,R-RGR040919002,8,1.545220202408749,0.5681573314379337,0.8045508184036794,0.972936254826485,1.0992291948025654,1.2107996706133735,1.329436620210794,1.4298217314086112,1.545220202408749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919003,RGR,CJF_1,CJF,1,R,R-RGR040919003,8,1.557406889633802,0.5736117155035466,0.8086646382037781,0.9689655004091486,1.1023307600256587,1.2181426010677086,1.3308270474382917,1.441595048591752,1.557406889633802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919004,RGR,CJF_1,CJF,1,R,R-RGR040919004,3,0.7815066006654956,0.4887650939413871,0.6662068645299765,0.7815066006654956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919005,RGR,CJF_1,CJF,1,R,R-RGR040919005,5,1.2896396941649695,0.5477406042332905,0.8134209106870389,0.9876493429823721,1.1360734944075839,1.2896396941649695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919006,RGR,CJF_1,CJF,1,R,R-RGR040919006,8,1.3234767966796444,0.49541527277530745,0.6886006236037658,0.8336159675131088,0.9680277473569061,1.0612980275114403,1.1428135934690422,1.2215823392326421,1.3234767966796444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,1.2597107445195888,0.5133099869892657,0.7122729604537729,0.8210987546910392,0.9376441399615676,1.0031136724326402,1.0969071929854683,1.181472248848652,1.2597107445195888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919008,RGR,CJF_1,CJF,1,R,R-RGR040919008,7,1.0717382307301804,0.36038784151339637,0.5400334894880737,0.6602813541769453,0.7631455733152548,0.8594890948780779,0.9648875137454977,1.0717382307301804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919009,RGR,CJF_1,CJF,1,R,R-RGR040919009,5,0.935060017413168,0.3802798604500748,0.5642008039159483,0.6813179724099913,0.8006981358281381,0.935060017413168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919010,RGR,CJF_1,CJF,1,R,R-RGR040919010,5,1.1669070891878663,0.5127698769319701,0.7378866869798604,0.8902541110848868,1.0311852102930696,1.1669070891878663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919011,RGR,CJF_1,CJF,1,R,R-RGR040919011,5,1.258502507689883,0.5036094310623292,0.7514470034456608,0.9453493715437096,1.0853165353564749,1.258502507689883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
