fishid,waterbody,reading,reader,rep,light_type,id,agecap,ann,rad,radcap
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,2,0.7122729604537729,1.2597107445195888
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,3,0.8210987546910392,1.2597107445195888
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,4,0.9376441399615676,1.2597107445195888
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,5,1.0031136724326402,1.2597107445195888
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,6,1.0969071929854683,1.2597107445195888
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,7,1.181472248848652,1.2597107445195888
RGR040919007,RGR,CJF_1,CJF,1,R,R-RGR040919007,8,8,1.2597107445195888,1.2597107445195888
RGR040919008,RGR,CJF_1,CJF,1,R,R-RGR040919008,7,1,0.36038784151339637,1.0717382307301804
RGR040919008,RGR,CJF_1,CJF,1,R,R-RGR040919008,7,2,0.5400334894880737,1.0717382307301804
RGR040919008,RGR,CJF_1,CJF,1,R,R-RGR040919008,7,3,0.6602813541769453,1.0717382307301804
RGR040919008,RGR,CJF_1,CJF,1,R,R-RGR040919008,7,4,0.7631455733152548,1.0717382307301804
RGR040919008,RGR,CJF_1,CJF,1,R,R-RGR040919008,7,5,0.8594890948780779,1.0717382307301804
RGR040919008,RGR,CJF_1,CJF,1,R,R-RGR040919008,7,6,0.9648875137454977,1.0717382307301804
RGR040919008,RGR,CJF_1,CJF,1,R,R-RGR040919008,7,7,1.0717382307301804,1.0717382307301804
RGR040919009,RGR,CJF_1,CJF,1,R,R-RGR040919009,5,1,0.3802798604500748,0.935060017413168
RGR040919009,RGR,CJF_1,CJF,1,R,R-RGR040919009,5,2,0.5642008039159483,0.935060017413168
RGR040919009,RGR,CJF_1,CJF,1,R,R-RGR040919009,5,3,0.6813179724099913,0.935060017413168
RGR040919009,RGR,CJF_1,CJF,1,R,R-RGR040919009,5,4,0.8006981358281381,0.935060017413168
RGR040919009,RGR,CJF_1,CJF,1,R,R-RGR040919009,5,5,0.935060017413168,0.935060017413168
RGR040919010,RGR,CJF_1,CJF,1,R,R-RGR040919010,5,1,0.5127698769319701,1.1669070891878663
