sample id,tissue type,boat weight,tissue + bag + paper,pin + paper,final tissue + boat,final bag,final pin,final paper,notes
JUM092319J349,Muscle,1.32,10.55,0.27,3.14,1.23,0.11,0.11,
JUM092319J350,Muscle,1.32,14.75,0.33,3.88,1.24,0.11,0.11,
JUM092319J351,Muscle,1.32,5.05,0.3,2.01,1.24,0.11,0.11,
JUM092319J352,Muscle,1.3,5.31,0.29,2.01,1.27,0.11,0.11,
JUM092319J353,Muscle,1.31,14.17,0.28,3.78,1.29,0.11,0.1,
JUM092319J354,Muscle,1.31,12.57,0.27,3.56,1.25,0.11,0.09,
JUM092319J355,Muscle,1.31,10.88,0.32,3.09,1.29,0.11,0.11,
JUM092319J356,Muscle,1.34,12.6,0.37,3.48,1.26,0.11,0.12,
JUM092319J357,Muscle,1.3,11.22,0.37,3.14,1.27,0.1,0.11,
JUM092319J358,Muscle,1.31,8.9,0.27,2.74,1.27,0.1,0.09,
JUM092319J359,Muscle,1.32,14.92,0.29,3.91,1.27,0.11,0.09,
JUM101819J001,Muscle,1.33,13.11,0.37,3.78,1.19,0.11,0.15,
JUM101819J002,Muscle,1.35,11.05,0.37,3.41,1.19,0.11,0.17,
JUM101819J003,Muscle,1.35,11.42,0.41,3.42,1.19,0.11,0.16,
JUM101819J004,Muscle,1.31,8.53,0.3,2.95,0.94,0.11,0.1,
JUM101819J005,Muscle,1.31,9.66,0.32,3,1.2,0.11,0.12,
JUM101819J006,Muscle,1.32,6.89,0.29,2.38,1.2,0.11,0.1,
JUM101819J007,Muscle,1.29,9.53,0.31,2.96,1.2,0.11,0.11,
JUM101819J008,Muscle,1.32,8.9,0.3,2.83,1.19,0.11,0.12,
JUM101819J009,Muscle,1.32,9.93,0.29,3.05,1.19,0.11,0.11,
JUM101819J010,Muscle,1.32,13.76,0.3,3.93,1.2,0.11,0.12,
JUM101819J011,Muscle,1.3,11.66,0.33,3.47,1.22,0.11,0.12,
JUM101819J012,Muscle,1.34,9.54,0.3,3.02,1.21,0.12,0.1,
JUM101819J013,Muscle,1.3,8.9,0.26,2.89,1.2,0.1,0.11,
JUM101819J014,Muscle,1.31,7.11,0.3,2.52,1.22,0.11,0.13,
JUM101819J015,Muscle,1.3,8.35,0.32,2.75,1.21,0.12,0.1,
JUM101819J016,Muscle,1.33,8.66,0.29,2.75,1.21,0.12,0.1,
JUM101819J017,Muscle,1.3,15.02,0.33,4.13,1.22,0.11,0.12,
JUM101819J018,Muscle,1.31,11.31,0.28,3.41,1.21,0.1,0.11,
JUM101819J019,Muscle,1.31,7.63,0.25,2.62,1.19,0.11,0.11,
JUM101819J020,Muscle,1.34,7.6,0.3,2.62,1.2,0.11,0.12,
JUM101819J021,Muscle,1.34,10.15,0.29,3.15,1.23,0.13,0.1,
JUM101819J022,Muscle,1.35,6.68,0.29,2.41,1.2,0.13,0.11,
JUM101819J023,Muscle,1.3,6.24,0.3,2.27,1.2,0.1,0.12,
JUM101819J024,Muscle,1.3,14.34,0.27,4,1.2,0.11,0.11,
JUM101819J025,Muscle,1.36,6.52,0.28,2.44,1.2,0.14,0.11,
JUM101819J026,Muscle,1.31,11.66,0.34,3.48,1.2,0.11,0.12,
JUM101819J027,Muscle,1.35,9.38,0.28,2.98,1.21,0.13,0.1,
JUM101819J028,Muscle,1.32,6.36,0.31,2.33,1.21,0.1,0.12,
JUM101819J029,Muscle,1.33,9.36,0.28,3.04,1.2,0.11,0.12,
JUM101819J030,Muscle,1.31,11.48,0.33,3.42,1.21,0.11,0.12,
JUM101819J031,Muscle,1.31,7.17,0.32,2.51,1.2,0.1,0.13,
JUM101819J032,Muscle,1.34,11.1,0.4,3.35,1.21,0.13,0.14,
JUM101819J033,Muscle,1.31,7.95,0.33,2.68,1.2,0.11,0.13,
JUM101819J034,Muscle,1.31,10.58,0.32,3.19,1.21,0.11,0.13,
JUM101819J035,Muscle,1.32,8.12,0.26,2.74,1.21,0.11,0.14,
JUM101819J036,Muscle,1.31,9.96,0.35,3.04,1.22,0.11,0.14,
JUM101819J037,Muscle,1.29,10.17,0.27,3.13,1.23,0.11,0.11,
JUM101819J038,Muscle,1.31,10.29,0.35,3.13,1.21,0.11,0.13,
JUM101819J039,Muscle,1.32,7.18,0.29,2.46,1.2,0.11,0.11,
JUM101819J040,Muscle,1.33,10.29,0.32,3.14,1.21,0.13,0.11,
JUM101819J041,Muscle,1.31,10.77,0.28,3.2,1.2,0.11,0.13,
JUM101819J042,Muscle,1.3,7.86,0.28,2.68,1.18,0.11,0.14,
JUM101819J043,Muscle,1.33,10.22,0.3,3.17,1.19,0.12,0.14,
JUM101819J044,Muscle,1.32,10.73,0.26,3.26,1.18,0.11,0.13,
JUM101819J045,Muscle,1.31,7.45,0.31,2.55,1.19,0.11,0.13,
JUM101819J046,Muscle,1.34,8.95,0.3,2.93,1.18,0.11,0.12,
JUM101819J047,Muscle,1.33,11.18,0.33,3.36,1.17,0.11,0.15,
JUM101819J048,Muscle,1.33,7.07,0.24,2.53,1.19,0.11,0.13,
JUM101819J049,Muscle,1.32,9.42,0.34,3.01,1.18,0.11,0.12,
JUM101819J050,Muscle,1.32,9.4,0.31,3.02,1.18,0.11,0.13,
JUM101819J051,Muscle,1.3,9.61,0.31,3.02,1.18,0.11,0.12,
JUM101819J052,Muscle,1.34,9.84,0.31,3.06,1.18,0.11,0.11,
JUM101819J053,Muscle,1.31,13.93,0.33,3.88,1.25,0.11,0.15,
JUM101819J054,Muscle,1.37,14.05,0.31,4.02,1.2,0.11,0.13,
JUM101819J055,Muscle,1.34,15.96,0.3,4.35,1.3,0.11,0.12,
JUM101819J056,Muscle,1.31,18.53,0.34,4.74,1.21,0.11,0.16,
JUM101819J057,Muscle,1.33,21.92,0.27,5.65,1.21,0.12,0.13,
JUM101819J058,Muscle,1.29,14.27,0.31,4.07,1.22,0.1,0.14,
JUM101819J059,Muscle,1.36,14.67,0.3,4.08,0.2,0.12,0.14,
JUM101819J060,Muscle,1.33,16.3,0.35,4.45,1.2,0.11,0.15,
JUM101819J061,Muscle,1.3,16.07,0.36,4.24,1.19,0.11,0.14,
JUM101819J062,Muscle,1.29,11.63,0.32,3.51,1.19,0.11,0.15,
JUM101819J063,Muscle,1.32,18.52,0.28,4.96,1.2,0.11,0.14,
JUM101819J064,Muscle,1.31,24.44,0.32,5.94,1.18,0.11,0.16,
JUM101819J065,Muscle,1.3,17.07,0.26,4.51,1.19,0.11,0.15,
