sample id,tissue type,boat weight,tissue + bag + paper,pin + paper,final tissue + boat,final bag,final pin,final paper,notes
JUM092319J036,Muscle,1.31,6.08,0.37,2.12,1.72,0.11,0.2,
JUM092319J037,Muscle,1.31,6.76,0.32,2.25,1.7,0.11,0.16,
JUM092319J038,Muscle,1.31,6.27,0.33,2,1.72,0.11,0.18,
JUM092319J039,Muscle,1.31,5.77,0.4,2.09,1.7,0.11,0.21,
JUM092319J040,Muscle,1.33,6.7,0.31,2.3,1.73,0.11,0.17,
JUM092319J041,Muscle,1.33,5.33,0.36,1.98,1.74,0.11,0.18,
JUM092319J042,Muscle,1.32,6.42,0.4,2.19,1.73,0.11,0.21,
JUM092319J043,Muscle,1.33,7.36,0.33,2.43,1.74,0.11,0.16,
JUM092319J044,Muscle,1.33,6.08,0.36,2.17,1.74,0.11,0.17,
JUM092319J045,Muscle,1.32,5.58,0.38,2.01,1.71,0.11,0.19,
JUM092319J046,Muscle,1.33,5.91,0.35,2.11,1.73,0.11,0.15,
JUM092319J047,Muscle,1.31,6.13,0.33,2.14,1.72,0.11,0.17,
JUM092319J048,Muscle,1.32,5.47,0.32,2.03,1.73,0.11,0.18,
JUM092319J049,Muscle,1.34,8,0.36,2.52,1.75,0.11,0.17,
JUM092319J050,Muscle,1.31,5.86,0.35,2.08,1.71,0.11,0.18,
JUM092319J051,Muscle,1.32,5.4,0.37,2,1.72,0.11,0.19,
JUM092319J052,Muscle,1.32,5.77,0.36,2,1.72,0.11,0.18,
JUM092319J053,Muscle,1.32,5.61,0.39,2.06,1.71,0.13,0.21,
JUM092319J054,Muscle,1.31,4.69,0.36,1.83,1.72,0.11,0.19,
JUM092319J055,Muscle,1.32,4.34,0.31,1.8,1.72,0.12,0.16,
JUM092319J056,Muscle,1.3,5.76,0.38,2.06,1.72,0.11,0.16,
JUM092319J057,Muscle,1.3,6.46,0.37,2.2,1.73,0.11,0.18,
JUM092319J058,Muscle,1.32,6.75,0.46,2.25,1.72,0.13,0.28,
JUM092319J059,Muscle,1.32,7.9,0.48,2.32,1.7,0.11,0.25,
JUM092319J060,Muscle,1.32,5.23,0.45,1.94,1.71,0.27,0.11,
JUM092319J061,Muscle,1.33,5.71,0.45,2.05,1.71,0.1,0.23,
JUM092319J062,Muscle,1.31,6.32,0.49,2.14,1.71,0.11,0.27,
JUM092319J063,Muscle,1.34,5.74,0.51,2.04,1.72,0.11,0.29,
JUM092319J064,Muscle,1.32,5.6,0.35,2.05,1.71,0.11,0.16,
JUM092319J065,Muscle,1.33,8.08,0.38,2.52,1.71,0.11,0.18,
JUM092319J066,Muscle,1.34,6.8,0.38,2.28,1.7,0.11,0.2,
JUM092319J067,Muscle,1.32,5.48,0.28,2.03,1.72,0.11,0.15,
JUM092319J068,Muscle,1.34,6.81,0.4,2.28,1.73,0.11,0.17,
JUM092319J069,Muscle,1.31,4.75,0.35,1.87,1.71,0.11,0.19,
JUM092319J070,Muscle,1.32,6.27,0.31,2.2,1.71,0.11,0.16,
JUM092319J071,Muscle,1.32,5.64,0.36,2.08,1.73,0.11,0.18,
JUM092319J072,Muscle,1.32,7.07,0.39,2.33,1.71,0.11,0.21,
JUM092319J073,Muscle,1.34,4.33,0.33,1.78,1.71,0.1,0.16,
JUM092319J074,Muscle,1.33,7.55,0.36,2.47,1.71,0.11,0.18,
JUM092319J075,Muscle,1.31,7.63,0.37,2.42,1.71,0.11,0.19,
JUM092319J076,Muscle,1.32,5.75,0.32,2.1,1.7,0.1,0.16,
JUM092319J077,Muscle,1.33,4.7,0.33,1.92,1.7,0.11,0.18,
JUM092319J078,Muscle,1.31,5.24,37,1.95,1.7,0.1,0.19,
JUM092319J079,Muscle,1.32,10.97,0.34,3.16,1.72,0.1,0.16,
JUM092319J080,Muscle,1.33,10.8,0.41,2.97,2.03,0.1,0.19,
JUM092319J081,Muscle,1.31,8.56,0.39,2.54,2,0.12,0.19,
JUM092319J082,Muscle,1.34,8.64,0.37,2.57,2.03,0.11,0.17,
JUM092319J083,Muscle,1.31,9.06,0.39,2.62,2.06,0.11,0.17,
JUM092319J084,Muscle,1.33,10.3,0.42,3.08,1.26,0.1,0.19,
JUM092319J085,Muscle,1.31,9.75,0.37,2.92,1.27,0.11,0.16,
JUM092319J086,Muscle,1.3,5.78,0.47,2.1,1.24,0.12,0.17,
JUM092319J087,Muscle,1.32,11.15,0.41,3.25,1.24,0.1,0.18,
JUM092319J088,Muscle,1.3,43.56,0.7,10.27,1.29,0.11,0.31,
JUM092319J089,Muscle,1.31,5.07,0.45,2.05,1.26,0.11,0.26,
JUM092319J090,Muscle,1.33,6.55,0.54,2.36,1.26,0.11,0.28,
JUM092319J091,Muscle,1.32,8.45,0.37,2.07,1.27,0.11,0.14,
JUM092319J092,Muscle,1.32,11.04,0.32,3.23,1.29,0.1,0.15,
JUM092319J093,Muscle,1.32,8,0.32,2.66,1.28,0.11,0.15,
JUM092319J094,Muscle,1.32,7.5,0.29,2.57,1.28,0.11,0.13,
JUM092319J095,Muscle,1.33,7.1,0.41,2.44,1.3,0.11,0.14,
JUM092319J096,Muscle,1.33,4.53,0.3,1.95,1.26,0.11,0.14,
JUM092319J097,Muscle,1.31,5.73,0.31,2.13,1.26,0.12,0.13,
JUM092319J098,Muscle,1.32,6.16,0.3,2.25,1.24,0.11,0.13,
JUM092319J099,Muscle,1.31,10.84,0.32,3.25,1.25,0.11,0.13,
JUM092319J100,Muscle,1.32,8.26,0.37,2.73,1.24,0.11,0.14,
JUM092319J101,Muscle,1.35,18.69,0.38,5.06,1.29,0.1,0.13,
JUM092319J102,Muscle,1.32,25.22,0.32,6.45,1.24,0.1,0.13,
JUM092319J103,Muscle,1.32,8.26,0.3,2.67,1.27,0.11,0.13,
JUM092319J104,Muscle,1.3,6.1,0.31,2.23,1.27,0.11,0.13,
JUM092319J105,Muscle,1.32,7.47,0.33,2.52,1.24,0.11,0.13,
JUM092319J106,Muscle,1.3,10.55,0.34,3.13,1.26,0.12,0.14,
JUM092319J107,Muscle,1.33,9.77,0.35,3.02,1.25,0.11,0.13,
JUM092319J108,Muscle,1.32,7.54,0.31,2.49,1.24,0.11,0.13,
JUM092319J109,Muscle,1.3,7.55,0.29,2.54,1.25,0.11,0.12,
JUM092319J110,Muscle,1.34,9.7,0.35,2.93,1.25,0.1,0.13,
JUM092319J111,Muscle,1.33,11.3,0.41,3.33,1.29,0.11,0.14,
JUM092319J112,Muscle,1.32,8.73,0.34,2.79,1.24,0.11,0.13,
JUM092319J113,Muscle,1.33,8.31,0.34,2.68,1.23,0.11,0.14,
JUM092319J114,Muscle,1.3,5.58,0.3,2.14,1.22,0.11,0.13,
JUM092319J115,Muscle,1.33,8.21,0.33,2.74,1.24,0.11,0.13,
JUM092319J116,Muscle,1.32,5.94,0.26,2.22,1.24,0.11,0.13,
JUM092319J117,Muscle,1.31,21.88,0.3,5.64,1.25,0.11,0.13,
JUM092319J118,Muscle,1.33,12.36,0.38,3.43,1.26,0.1,0.14,
JUM092319J119,Muscle,1.31,5.67,0.26,2.14,1.26,0.12,0.12,
JUM092319J120,Muscle,1.32,8.65,0.33,2.79,1.26,0.11,0.13,
JUM092319J121,Muscle,1.3,5.25,0.29,2.08,1.23,0.11,0.11,
JUM092319J122,Muscle,1.32,6.61,0.34,2.35,1.24,0.11,0.1,
JUM092319J123,Muscle,1.3,5.28,0.3,2.07,1.26,0.11,0.11,
JUM092319J124,Muscle,1.31,6.85,0.27,2.28,1.25,0.11,0.1,
JUM092319J125,Muscle,1.3,5.97,0.32,2.18,1.25,0.11,0.1,
JUM092319J126,Muscle,1.32,6.23,0.24,2.26,1.24,0.11,0.1,
JUM092319J127,Muscle,1.33,5.36,0.27,2.08,1.25,0.11,0.11,
JUM092319J128,Muscle,1.31,9.02,0.34,2.68,1.26,0.12,0.11,
JUM092319J129,Muscle,1.33,5.93,0.27,2.22,1.21,0.11,0.12,
JUM092319J130,Muscle,1.32,8.94,0.3,2.72,1.28,0.11,0.11,
JUM092319J131,Muscle,1.33,7.19,0.33,2.42,1.26,0.11,0.12,
JUM092319J132,Muscle,1.32,6.44,0.28,2.32,1.27,0.1,0.12,
JUM092319J133,Muscle,,5.91,0.27,2.28,1.26,0.11,0.1,
JUM092319J134,Muscle,1.31,6.28,0.24,2.28,1.21,0.11,0.1,
JUM092319J135,Muscle,1.31,5.87,0.28,2.21,1.23,0.11,0.1,
JUM092319J136,Muscle,1.33,24.8,0.31,6.14,1.24,0.1,0.11,
JUM092319J137,Muscle,1.32,7.81,0.27,2.58,1.21,0.17,0.1,
JUM092319J138,Muscle,1.3,7.1,0.29,2.44,1.23,0.12,0.11,
JUM092319J139,Muscle,1.31,9.36,0.29,2.92,1.22,0.1,0.14,
JUM092319J140,Muscle,1.33,10.67,0.33,3.01,1.26,0.11,0.12,
JUM092319J141,Muscle,1.3,10.09,0.32,3,1.26,0.1,0.1,
JUM092319J142,Muscle,1.33,11.41,0.34,3.27,1.26,0.1,0.13,
JUM092319J143,Muscle,1.34,10.56,0.32,3.19,1.21,0.11,0.1,
JUM092319J144,Muscle,1.29,7.57,0.26,2.52,1.27,0.11,0.1,
JUM092319J145,Muscle,1.31,8.59,0.26,2.76,1.23,0.11,0.1,
JUM092319J146,Muscle,1.33,7.68,0.28,2.58,1.24,0.11,0.11,
JUM092319J147,Muscle,1.31,8.24,0.26,2.66,1.25,0.11,0.11,
JUM092319J148,Muscle,1.33,6.4,0.25,2.34,1.26,0.11,0.09,
JUM092319J149,Muscle,1.33,5.54,0.31,2.15,1.26,0.11,0.11,
JUM092319J150,Muscle,132,6.33,0.28,2.26,1.23,0.1,0.11,
JUM092319J151,Muscle,1.32,6.46,0.24,2.33,1.22,0.11,0.1,
JUM092319J152,Muscle,1.32,6.46,0.25,2.32,1.27,0.11,0.11,
JUM092319J153,Muscle,1.32,6.32,0.26,2.23,1.24,0.11,0.1,
JUM092319J154,Muscle,1.33,7.25,0.3,2.49,1.24,0.11,0.11,
JUM092319J155,Muscle,1.32,6.32,0.28,2.32,1.27,0.1,0.11,
JUM092319J156,Muscle,1.32,8.06,0.28,,1.24,0.12,0.11,Final weight not taken
JUM092319J157,Muscle,1.31,10.74,0.29,3.19,1.26,0.11,0.12,
JUM092319J158,Muscle,1.33,5.41,0.33,2.09,1.24,0.1,0.11,
JUM092319J159,Muscle,1.33,5.22,0.29,2.04,1.26,0.11,0.1,
JUM092319J160,Muscle,1.3,6.54,0.28,2.32,1.26,0.11,0.1,
JUM092319J161,Muscle,1.31,8.49,0.29,2.7,1.25,0.11,0.11,
JUM092319J162,Muscle,1.34,3.87,0.23,1.82,1.24,0.11,0.1,
JUM092319J163,Muscle,1.32,5.5,0.28,2.12,1.23,0.11,0.11,
JUM092319J164,Muscle,1.33,5.92,0.27,2.2,1.24,0.11,0.11,
JUM092319J165,Muscle,1.31,7.81,0.28,2.47,1.23,0.11,0.1,
JUM092319J166,Muscle,1.32,5.81,0.27,2.15,1.21,0.12,0.11,
JUM092319J167,Muscle,1.33,4.06,0.32,1.82,1.24,0.11,0.11,
JUM092319J168,Muscle,1.31,6.69,0.3,2.28,1.23,0.11,0.11,
JUM092319J169,Muscle,1.34,7.14,0.26,2.52,0.122,0.11,0.1,
JUM092319J170,Muscle,1.33,7.5,0.25,2.53,1.23,0.11,0.1,
JUM092319J171,Muscle,1.33,6.14,0.22,2.22,1.23,0.12,0.08,
JUM092319J172,Muscle,1.31,10.56,0.24,3.18,1.23,0.1,0.1,
JUM092319J173,Muscle,1.31,4.68,0.26,1.97,1.24,0.11,0.1,
JUM092319J174,Muscle,1.33,6.12,0.26,2.26,1.25,0.11,0.1,
JUM092319J175,Muscle,1.33,5.22,0.26,2.12,1.26,0.12,0.11,
JUM092319J176,Muscle,1.3,7.24,0.29,2.46,1.24,0.11,0.1,
JUM092319J177,Muscle,1.32,6.12,0.26,2.23,1.26,0.11,0.1,
JUM092319J178,Muscle,1.33,3.73,0.26,1.78,1.25,0.11,0.1,
JUM092319J179,Muscle,1.31,7.96,0.26,2.58,1.24,0.11,0.1,
JUM092319J180,Muscle,1.33,4.18,0.23,1.88,1.22,0.11,0.1,
JUM092319J181,Muscle,1.33,7.18,0.24,2.51,1.24,0.11,0.1,
JUM092319J182,Muscle,1.33,5.47,0.26,2.12,1.25,0.11,0.11,
JUM092319J183,Muscle,1.33,6.71,0.26,2.39,1.25,0.11,0.1,
JUM092319J184,Muscle,1.3,6.61,0.27,2.33,1.26,0.11,0.13,
JUM092319J185,Muscle,1.31,8.46,0.27,2.75,1.25,0.11,0.11,
JUM092319J186,Muscle,1.34,7.35,0.2,2.54,1.26,0.11,0.11,
JUM092319J187,Muscle,1.32,7.99,0.26,2.65,1.27,0.1,0.11,
JUM092319J188,Muscle,1.31,7,0.29,2.4,1.25,0.11,0.11,
JUM092319J189,Muscle,1.31,9.9,0.27,3.05,1.24,0.11,0.1,
JUM092319J190,Muscle,1.31,8.81,0.3,2.82,1.25,0.11,0.1,
JUM092319J191,Muscle,1.31,3.85,0.26,1.78,1.3,0.11,0.1,
JUM092319J192,Muscle,1.32,11.52,0.27,3.37,1.23,0.11,0.1,
JUM092319J193,Muscle,1.32,6.04,0.27,2.23,1.28,0.11,0.1,
JUM092319J194,Muscle,1.34,5.2,0.3,2.12,1.25,0.11,0.1,
JUM092319J195,Muscle,1.3,5.9,0.26,2.24,1.23,0.11,0.1,
JUM092319J196,Muscle,1.33,5.67,0.26,2.19,1.23,0.11,0.1,
JUM092319J197,Muscle,1.34,5.28,0.26,2.04,1.26,0.11,0.1,weight is likely off
JUM092319J198,Muscle,1.36,7.36,0.26,2.5,1.26,0.11,0.1,
JUM092319J199,Muscle,1.34,8.56,0.28,2.73,1.23,0.11,0.1,
JUM092319J200,Muscle,1.3,5.43,0.27,2.1,1.23,0.11,0.11,
JUM092319J201,Muscle,1.33,6.06,0.26,2.25,1.25,0.11,0.1,
JUM092319J202,Muscle,1.32,8.12,0.32,2.61,1.23,0.11,0.11,
JUM092319J203,Muscle,1.3,6.34,0.25,2.28,1.25,0.11,0.1,
JUM092319J204,Muscle,1.3,7.43,0.3,2.49,1.26,0.11,0.1,
JUM092319J205,Muscle,1.33,7.11,0.24,2.43,1.27,0.11,0.09,
JUM092319J206,Muscle,1.33,3.51,0.24,1.7,1.27,0.11,0.09,weight is likely off
JUM092319J207,Muscle,1.31,6.71,0.29,2.35,1.25,0.11,0.1,
JUM092319J208,Muscle,1.33,11.11,0.25,3,1.24,0.11,0.11,
JUM092319J209,Muscle,1.31,6.29,0.27,2.28,1.24,0.11,0.11,
JUM092319J210,Muscle,1.34,3.97,0.24,1.82,1.23,0.11,0.11,
JUM092319J211,Muscle,1.33,8.19,0.28,2.63,1.23,0.11,0.11,
JUM092319J212,Muscle,1.32,8.86,0.27,2.81,1.23,0.11,0.1,
JUM092319J213,Muscle,1.31,6.62,0.28,2.35,1.25,0.12,0.1,
JUM092319J214,Muscle,1.31,5.23,0.23,2.1,1.23,0.12,0.11,
JUM092319J215,Muscle,1.31,7.97,0.27,2.55,1.24,0.11,0.11,
JUM092319J216,Muscle,1.3,7.06,0.27,2.37,1.22,0.11,0.1,
JUM092319J217,Muscle,1.31,6.88,0.26,2.35,1.26,0.11,0.11,
JUM092319J218,Muscle,1.31,8.28,0.29,2.68,1.22,0.11,0.1,
JUM092319J219,Muscle,1.32,9.06,0.27,2.9,1.23,0.12,0.12,
JUM092319J220,Muscle,1.3,13.21,0.29,3.69,1.23,0.11,0.11,
JUM092319J221,Muscle,1.29,10.67,0.3,3.22,1.25,0.1,0.12,
JUM092319J222,Muscle,1.34,9.37,0.27,2.97,1.23,0.11,0.1,
JUM092319J223,Muscle,1.33,7.65,0.28,2.54,1.23,0.11,0.09,
JUM092319J224,Muscle,1.31,7.47,0.33,2.52,1.21,0.1,0.1,
JUM092319J225,Muscle,1.31,5.9,0.3,2.2,1.24,0.11,0.1,
JUM092319J226,Muscle,1.32,6.8,0.29,2.39,1.25,0.1,0.1,
JUM092319J227,Muscle,1.3,7.25,0.28,2.45,1.26,0.11,0.1,
JUM092319J228,Muscle,1.31,5.88,0.26,2.21,1.26,0.11,0.1,
JUM092319J229,Muscle,1.32,11.55,0.28,3.33,1.26,0.11,0.12,
JUM092319J230,Muscle,1.29,8.36,0.3,2.62,1.22,0.11,0.1,
JUM092319J231,Muscle,1.29,6.74,0.24,2.3,1.25,0.12,0.09,
JUM092319J232,Muscle,1.3,12.91,0.28,3.81,1.26,0.11,0.11,
JUM092319J233,Muscle,1.32,8.98,0.3,2.8,1.24,0.11,0.11,
JUM092319J234,Muscle,1.3,12.62,0.29,3.6,1.25,0.11,0.11,
JUM092319J235,Muscle,1.31,11.22,0.32,3.25,1.25,0.11,0.12,
JUM092319J236,Muscle,1.3,8.59,0.31,2.7,1.26,0.11,0.1,
JUM092319J237,Muscle,1.32,17.26,0.33,4.76,1.27,0.11,0.12,
JUM092319J238,Muscle,1.32,16.13,0.29,4.36,1.26,0.11,0.1,
JUM092319J239,Muscle,1.31,12.41,0.25,3.64,1.26,0.11,0.1,
JUM092319J240,Muscle,1.32,13.44,0.27,3.91,1.25,0.11,0.1,
JUM092319J241,Muscle,1.3,15.53,0.26,4.3,1.25,0.12,0.1,
JUM092319J242,Muscle,1.32,11.02,0.27,3.36,1.26,0.11,0.1,
JUM092319J243,Muscle,1.31,12.62,0.26,3.64,1.26,0.12,0.11,
JUM092319J244,Muscle,1.32,7.69,0.29,2.64,1.24,0.11,0.11,
JUM092319J245,Muscle,1.3,5.23,0.27,2.07,1.25,0.11,0.11,
JUM092319J246,Muscle,1.33,6.38,0.26,2.27,1.25,0.12,0.1,
JUM092319J247,Muscle,1.32,5.98,0.24,2.21,1.24,0.11,0.11,
JUM092319J248,Muscle,1.33,8.73,0.26,2.71,1.25,0.11,0.11,
JUM092319J249,Muscle,1.3,6.99,0.28,2.43,1.24,0.12,0.1,
JUM092319J250,Muscle,1.32,7.81,0.25,2.52,1.25,0.11,0.1,
JUM092319J251,Muscle,1.28,4.75,0.23,1.93,1.25,0.11,0.1,
JUM092319J252,Muscle,1.31,4.23,0.2,1.86,1.25,0.11,0.1,
JUM092319J253,Muscle,1.32,6.62,0.26,2.27,1.25,0.11,0.11,
JUM092319J254,Muscle,1.31,7.44,0.27,2.52,1.26,0.1,0.12,
JUM092319J255,Muscle,1.3,6.57,0.23,2.3,1.25,0.11,0.1,
JUM092319J256,Muscle,1.32,11.16,0.23,3.39,1.25,0.12,0.12,
JUM092319J257,Muscle,1.31,11.74,0.23,3.35,1.26,0.11,0.1,
JUM092319J258,Muscle,1.33,8.27,0.25,2.67,1.24,0.11,0.09,
JUM092319J259,Muscle,1.3,8.25,0.21,2.64,1.24,0.11,0.1,
JUM092319J260,Muscle,1.32,12.28,0.28,3.52,1.26,0.11,0.1,
JUM092319J261,Muscle,1.31,8.63,0.28,2.73,1.26,0.13,0.11,
JUM092319J262,Muscle,1.3,6.06,0.25,2.23,1.27,0.11,0.1,
JUM092319J263,Muscle,1.34,11.17,0.23,3.37,1.25,0.11,0.11,
JUM092319J264,Muscle,1.31,6.44,0.24,2.31,1.24,0.1,0.09,
JUM092319J265,Muscle,1.33,8.9,0.18,2.88,1.24,0.12,0.09,
JUM092319J266,Muscle,1.31,9.06,0.24,2.82,1.23,0.11,0.1,weight may be wrong
JUM092319J267,Muscle,1.31,5.32,0.29,2.05,1.21,0.11,0.11,
JUM092319J268,Muscle,1.32,3.88,0.23,1.84,1.22,0.11,0.09,
JUM092319J269,Muscle,1.31,9.53,0.23,2.84,1.23,0.11,0.09,
JUM092319J270,Muscle,1.32,4.23,0.24,1.84,1.25,0.11,0.09,
JUM092319J271,Muscle,1.31,10.6,0.26,3.07,1.28,0.11,0.1,
JUM092319J272,Muscle,1.31,7.89,0.24,2.6,1.25,0.11,0.1,
JUM092319J273,Muscle,1.32,4.95,0.24,2.01,1.26,0.11,0.1,
JUM092319J274,Muscle,1.33,9.48,0.22,2.89,1.26,0.11,0.1,
