sample id,sample weight,unburned fuse length,burned fuse length,temp rise,gross heat before fuse,gross heat corrected
JUM092518J009,0.08424,42,58,0.803,20.5786,20.6597
JUM082518J011,0.09627,37,63,0.946,21.3284,21.3484
JUM082518J015,0.12743,33,67,1.2391,21.2587,21.2436
BA081619001,0.20132,52,48,2.3726,26.0501,26.1314
BA081619002,0.20964,47,53,2.4748,26.1065,26.1616
JUM092518J022,0.10964,64,36,1.0678,21.2124,21.4671
JUM092518J023,0.13379,37,63,1.2798,20.8289,20.9433
JUM092518J028,0.12316,80,20,1.1965,21.2225,21.5744
JUM092518J036,0.1398,30,70,1.3783,21.6205,21.5861
JUM092518J040,0.1108,28,72,1.0611,20.8553,20.7845
JUM092518J044,0.13435,32,68,1.2202,19.8481,19.8266
JUM092518J049,0.12617,42,58,1.2477,21.6236,21.6771
,0.10033,27,73,1.9896,21.4387,21.362
BA081219001,0.20656,35,65,2.0524,21.922,21.922
BA081219002,0.20611,31,69,2.41,25.8501,25.8315
JUM111518J010,0.14199,35,65,1.4044,21.6823,21.6823
JUM111518J015,0.12784,36,64,1.2631,21.6097,21.6172
JUM111518J017,0.13674,34,66,1.332,21.33,21.3229
JUM111518J020,0.11776,32,68,1.1329,20.986,20.9615
BA081419001,0.19836,51,49,2.3458,26.1365,26.2142
BA081419002,0.2108,28,71,2.5047,26.2801,26.4445
JUM111518J021,0.12978,34,66,1.2478,21.0233,21.0158
JUM111518J022,0.1327,31,68,1.2746,21.0131,20.984
JUM111518J025,0.11221,40,60,1.0843,21.056,21.0989
JUM111518J040,0.07438,32,68,0.7266,21.0093,20.9704
BA082819001,0.20714,33,67,2.4496,26.149,26.1397
BA082819002,0.19671,36,64,2.3367,26.2515,26.2564
JUM092518J049,0.14861,28,72,1.4638,21.6105,21.5652
JUM092518J051,0.14924,35,65,1.4716,21.6357,21.6357
BA082919001,0.2167,34,66,2.5641,26.1772,26.1728
BA082919002,0.20421,37,63,2.4333,26.3461,26.3555
JUM092718J006,0.11002,33,67,1.0226,20.2199,20.2024
JUM092718J009,0.09722,36,64,0.9585,21.409,21.4189
JUM092718J010,0.12801,31,69,1.1896,20.2974,20.2673
BA090418001,0.20533,31,69,2.4358,26.2297,26.211
BA090418002,0.21121,35,65,2.4979,26.1565,26.1565
BA090418011,0.14786,33,67,1.346,19.9246,19.9116
BA090418012,0.12012,48,52,1.1118,20.1815,20.2857
BA090418013,0.14402,31,69,1.3354,20.3051,20.2783
BA090418014,0.14221,30,70,1.3655,21.0378,21.0041
BA090519001,0.17262,39,61,2.0646,26.3894,26.4117
BA090519002,0.1931,17,83,2.2917,26.2213,26.1316
BA090519015,0.13028,43,57,1.2861,21.6008,21.6599
BA090519019,0.11161,30,70,1.0625,20.7326,20.6895
BA090519031,11089,51,49,1.0742,21.104,21.2256
BA09261901,0.21023,41,59,2.7563,29.0279,29.0554
BA092619002,0.20955,48,52,2.7493,29.0473,29.107
Pellet 01,0.02699,37,63,0.3369,25.5968,25.6681
Pellet 02,0.02715,78,22,0.3026,22.9232,24.1484
Pellet 03,0.02942,35,65,0.3616,25.3667,25.3667
