limnoid,depth,do,temp
JUM052919L,0,6.48,14.2
JUM052919L,1,6.46,14.2
JUM052919L,2,6.45,14
JUM052919L,3,6.44,14
JUM052919L,4,4.42,14
JUM052919L,5,6.39,14
JUM052919L,6,6.34,14
JUM062019L,0,7.17,22.4
JUM062019L,1,7.21,22.1
JUM062019L,2,6.91,21.5
JUM062019L,3,6.68,21.3
JUM062019L,4,6.42,21.1
JUM062019L,5,5.86,20.9
JUM071819L,0,6.58,26.9
JUM071819L,1,6.53,26.4
JUM071819L,2,6.46,26.1
JUM071819L,3,6.56,25.8
JUM071819L,4,6.4,25.7
JUM071819L,5,6.22,25.6
JUM071819L,6,5.67,25.2
