sample id,tissue type,boat weight,tissue + bag + paper,pin + paper,final tissue + boat,final bag,final pin,final paper,notes
ANX091019J123,Muscle,,,,,,,,
ANX091019J124,Muscle,,,,,,,,
ANX091019J125,Muscle,,,,,,,,
ANX091019J126,Muscle,,,,,,,,
ANX091019J127,Muscle,,,,,,,,
ANX091019J128,Muscle,,,,,,,,
ANX091019J129,Muscle,,,,,,,,
ANX091019J130,Muscle,,,,,,,,
ANX091019J131,Muscle,,,,,,,,
ANX091019J132,Muscle,,,,,,,,
ANX091019J133,Muscle,,,,,,,,
ANX091019J134,Muscle,,,,,,,,
ANX091019J135,Muscle,,,,,,,,
ANX091019J136,Muscle,,,,,,,,
