fishid,tisuetype,boat,tissue+bag,pin+paper,final tissue + boat,final bag,final pin,final paper,wet paper,wet tissue,dry tissue
NAR032119005,gonad,1.3,9.75,0.3,2.23,3.53,0.11,0.07,0.23,5.99,0.93
NAR032119006,gonad,1.3,15.79,0.24,3.7,3.29,0.11,0.07,0.17,12.33,2.4
NAR032119007,gonad,1.3,14.89,0.25,3.66,3.27,0.1,0.07,0.18,11.44,2.36
NAR032119008,gonad,1.31,17.32,0.27,4.16,3.34,0.12,0.09,0.18,13.8,2.85
NAR032119009,gonad,1.3,12.27,0.25,2.82,3.31,0.11,0.07,0.18,8.78,1.52
NAR032119010,gonad,1.32,5.04,0.24,1.51,3.25,0.11,0.07,0.17,1.62,0.19
NAR032119011,gonad,1.3,3.78,0.19,1.34,3.22,0.1,0.06,0.13,0.43,0.04
NAR032119012,gonad,1.3,15.86,0.22,3.81,3.23,0.11,0.07,0.15,12.48,2.51
NAR032119013,gonad,1.28,19.61,0.29,4.29,3.35,0.11,0.07,0.22,16.04,3.01
NAR032119014,gonad,1.29,18.89,0.28,4.17,3.37,0.11,0.08,0.2,15.32,2.88
NAR032219001,gonad,1.3,13.41,0.27,3.1,3.28,0.11,0.04,0.23,9.9,1.8
NAR032219002,gonad,1.32,11.41,0.38,2.75,3.26,0.1,0.08,0.3,7.85,1.43
NAR032219003,gonad,1.33,13.08,0.44,3.06,3.25,0.11,0.1,0.34,9.49,1.73
NAR032219004,gonad,1.32,23.2,0.32,5.42,3.25,0.11,0.1,0.22,19.73,4.1
NAR032219005,gonad,1.31,16.29,0.2,3.99,3.21,0.11,0.05,0.15,12.93,2.68
NAR032219006,gonad,1.3,7.25,0.18,1.97,3.24,0.11,0.06,0.12,3.89,0.67
NAR032219007,gonad,1.31,12.94,0.24,3,3.29,0.11,0.06,0.18,9.47,1.69
NAR032419001,gonad,1.32,20.43,0.21,4.97,3.24,0.1,0.06,0.15,17.04,3.65
NAR032419002,gonad,1.3,16.62,0.2,4.02,3.27,0.11,0.05,0.15,13.2,2.72
NAR032419003,gonad,7.95,65.1,0.23,29.39,3.24,0.1,0.05,0.18,61.68,21.44
NAR032419004,gonad,1.3,15.58,0.27,3.87,3.3,0.11,0.08,0.19,12.09,2.57
NAR032419005,gonad,1.31,10.33,0.28,2.31,3.28,0.11,0.06,0.22,6.83,1
NAR032419006,gonad,1.31,3.94,0.21,1.55,3.29,0.11,0.08,0.13,0.52,0.24
NAR032419007,gonad,1.3,10.4,0.27,2.6,3.26,0.11,0.08,0.19,6.95,1.3
NAR032419008,gonad,1.31,4.84,0.19,1.36,3.23,0.11,0.07,0.12,1.49,0.05
NAR032519001,gonad,1.31,19.26,0.2,4.4,3.27,0.11,0.05,0.15,15.84,3.09
NAR032519002,gonad,1.33,15.18,0.28,3.47,3.31,0.11,0.07,0.21,11.66,2.14
