fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23
ANX091818A009,ANX,LEL_1,LEL,1,R,R-ANX091818A009,2,0.794362035680614,0.4884847992306133,0.6354896285444915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A009,ANX,LSR_1,LSR,1,R,R-ANX091818A009,3,0.5476599427513171,0.2638594749640465,0.38202731092550896,0.46542086284110035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A009,ANX,MJS_1,MJS,1,R,R-ANX091818A009,3,0.674205433188173,0.37418177864793123,0.5406355095185444,0.674205433188173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A009,ANX,NGA_1,NGA,1,R,R-ANX091818A009,2,0.7580346026099549,0.4706791781470362,0.625367108928631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A010,ANX,CJF_1,CJF,1,R,R-ANX091818A010,2,0.7307905163839842,0.44222706212192425,0.5867944339126403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A010,ANX,LEL_1,LEL,1,R,R-ANX091818A010,2,0.6724223719012998,0.4360299181942765,0.563149658533969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A010,ANX,LSR_1,LSR,1,R,R-ANX091818A010,3,0.5650640860101369,0.292712682481982,0.4279677375636047,0.4906190401965579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A010,ANX,MJS_1,MJS,1,R,R-ANX091818A010,3,0.5404891317353796,0.2962772748730432,0.4317809991843561,0.5404891317353796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A010,ANX,NGA_1,NGA,1,R,R-ANX091818A010,2,0.5870338835480496,0.3471142842973944,0.48613434585357407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A011,ANX,CJF_1,CJF,1,R,R-ANX091818A011,4,1.1846861553922072,0.4781042989429922,0.748945039885667,0.9447952921434503,1.0770467562670893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
