fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24
ANX091818A030,ANX,CJF_1,CJF,1,R,R-ANX091818A030,1,0.7987145198658467,0.5788688186295686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A031,ANX,CJF_1,CJF,1,R,R-ANX091818A031,2,0.805199441679039,0.4652250299789921,0.6581603912502952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A033,ANX,CJF_1,CJF,1,R,R-ANX091818A033,4,1.3033263871615646,0.48197811601965396,0.7828597438269387,1.0271873840567616,1.187250329789147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A034,ANX,CJF_1,CJF,1,R,R-ANX091818A034,3,0.8461170661645233,0.44650237052720654,0.6329775470048506,0.7582570599692435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A036,ANX,CJF_1,CJF,1,R,R-ANX091818A036,4,1.199092857874896,0.29315787911438135,0.5911852815557488,0.8578848793786732,1.0079585031164897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A037,ANX,CJF_1,CJF,1,R,R-ANX091818A037,2,0.6997095339147574,0.41002010539747774,0.5775208460445211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A038,ANX,CJF_1,CJF,1,R,R-ANX091818A038,3,1.0237895500788947,0.5050487403618503,0.6959096770987119,0.8373382569725583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A039,ANX,CJF_1,CJF,1,R,R-ANX091818A039,4,0.9928304396198334,0.40685397450964383,0.6232438894277577,0.7638677451169621,0.8889015610951472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A040,ANX,CJF_1,CJF,1,R,R-ANX091818A040,4,1.1248738188011922,0.548417062458587,0.7921146600031128,0.9147500747152816,1.0334802577231808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A041,ANX,CJF_1,CJF,1,R,R-ANX091818A041,1,0.5678618270996032,0.3387913400764819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A042,ANX,CJF_1,CJF,1,R,R-ANX091818A042,1,0.5872930061926185,0.43584875049458216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A043,ANX,CJF_1,CJF,1,R,R-ANX091818A043,3,0.9679444833129709,0.4874160843643461,0.7153249693760797,0.8694740571667874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A045,ANX,CJF_1,CJF,1,R,R-ANX091818A045,1,0.6294883680977635,0.4331464325946803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
