fishid,tissueid,date,rep,type,personel,weight_sample,fuse_length_unburned,fuse_length_burned,temp_rise,gross_heat_uncorrected,gross_heat_corrected,gear,gearid,waterbody,date_capture,fishspp,tl,ww,wwt,sex,gonww,maturity,goncond,condnet,abnormal,condbloodcoll,meshcolor,meshsize,notes,ploidy,tissueww,tissuedw,percent_DM,ED_ww,id_run
NAR032519010,NAR032519010G,NA,1,gonad,NGA,0.12373,38,62,1.2177,21.5076,21.5309,gn,GNNAR03251904,NAR,20190325,WAL,530,1564,NA,M,30,1,4,A,N,A,NA,4,NA,2N,12.09,2.39,19.768403639371382,4256.315219189412,NAR032519010G-1
NAR032619003,NAR032619003G,NA,1,gonad,NGA,0.13562,33,67,1.2737,20.5461,20.5319,gn,GNNAR03261903,NAR,20190326,WAL,359,380,NA,M,6.3,1,4,A,N,A,NA,2.5,NA,2N,2.9,0.37,12.758620689655173,2619.5872413793104,NAR032619003G-1
NAR032719014,NAR032719014G,NA,1,gonad,NGA,0.14949,34,66,1.4604,21.4332,21.4268,gn,GNNAR03271906,NAR,20190327,WAL,521,1343,NA,M,28.1,1,4,A,N,A,NA,3,NA,2N,13.17,2.64,20.045558086560366,4295.121640091117,NAR032719014G-1
NAR033019018,NAR033019018G,NA,1,gonad,NGA,0.15114,18,82,1.572,22.8496,22.7413,gn,GNNAR03301904,NAR,20190330,WAL,490,1064,NA,M,23.7,1,4,A,N,A,NA,4,NA,2N,11.39,2.49,21.8612818261633,4971.539683933274,NAR033019018G-1
NAR032519005,NAR032519005G,NA,1,gonad,NGA,0.14697,34,66,1.4022,20.9143,20.9078,gn,GNNAR03251902,NAR,20190325,WAL,469,1013,NA,M,28.1,1,4,A,N,A,NA,4,NA,2N,15.85,3.17,20,4181.56,NAR032519005G-1
NAR032919021,NAR032919021G,NA,1,gonad,NGA,0.14215,46,54,1.4371,22.1728,22.2473,gn,GNNAR03291905,NAR,20190329,WAL,485,1143,NA,M,34.7,1,4,A,N,A,NA,3,NA,2N,17.93,3.6,20.07808142777468,4466.831009481316,NAR032919021G-1
NAR032119010,NAR032119010G,NA,1,gonad,NGA,0.08814,55,45,0.8439,20.7065,20.925,gn,GNNAR03211902,NAR,20190321,WAL,379,381,NA,M,4.2,1,4,A,N,A,NA,3,NA,2N,1.62,0.19,11.728395061728394,2454.1666666666665,NAR032119010G-1
NAR032719011,NAR032719011G,NA,1,gonad,NGA,0.12039,30,70,1.1227,20.3391,20.2991,gn,GNNAR03271904,NAR,20190327,WAL,487,976,NA,M,20.4,1,4,A,N,A,NA,4,NA,2N,10.25,1.31,12.78048780487805,2594.324,NAR032719011G-1
NAR032819002,NAR032819002G,NA,1,gonad,NGA,0.21938,35,65,2.0735,20.8551,20.8551,gn,GNNAR03281902,NAR,20190328,WAL,468,1112,NA,M,27.3,1,4,A,N,A,NA,3,NA,2N,13.35,2.66,19.925093632958806,4155.398202247192,NAR032819002G-1
NAR032219006,NAR032219006G,NA,1,gonad,NGA,0.1472,34,66,1.3954,20.7777,20.7712,gn,GNNAR03221904,NAR,20190322,WAL,420,576,NA,M,8.3,1,4,A,N,A,NA,3,NA,2N,3.89,0.67,17.223650385604113,3577.558868894602,NAR032219006G-1
NAR031919001,NAR031919001G,NA,1,gonad,NGA,0.11098,36,64,1.1527,22.6678,22.6765,gn,GNNAR03191902,NAR,20190319,WAL,479,912,NA,M,2.9,1,2,A,N,A,NA,4,NA,3N,1.43,0.2,13.986013986013987,3171.538461538462,NAR031919001G-1
NAR032119011,NAR032119011G,NA,1,gonad,NGA,0.04343,35,65,0.4501,21.7396,21.7396,gn,GNNAR03211904,NAR,20190321,WAL,367,362,NA,M,0.9,1,2,A,N,A,NA,1.5,NA,3N,0.43,0.04,9.30232558139535,2022.288372093023,NAR032119011G-1
NAR032819005,NAR032819005G,NA,1,gonad,NGA,0.18556,38,62,1.7522,20.7833,20.7989,gn,GNNAR03281904,NAR,20190328,WAL,313,199,NA,M,0.01,0,1,A,N,A,NA,2.5,NA,3N,10.9,1.98,18.165137614678898,3778.148807339449,NAR032819005G-1
NAR032019008,NAR032019008G,20200721,2,gonad,NGA,0.16466,41,59,1.5637,20.8609,20.896,gn,GNNAR03201902,NAR,20190320,WAL,491,1142,NA,M,38,1,4,A,N,A,NA,4,NA,2N,21.17,4.05,19.13084553613604,3997.581483230987,NAR032019008G-2
NAR032519011,NAR032519011G,20200721,2,gonad,NGA,0.18713,33,67,1.7569,20.665,20.6547,gn,GNNAR03251904,NAR,20190325,WAL,504,1144,NA,M,35.2,1,4,A,N,A,NA,4,NA,2N,17.31,3.31,19.121894858463317,3949.5700173310224,NAR032519011G-2
NAR032519002,NAR032519002G,20200721,2,gonad,NGA,0.17015,33,67,1.6109,20.8092,20.7978,gn,GNNAR03251903,NAR,20190325,WAL,476,910,NA,M,26.4,1,4,A,N,A,NA,4,NA,2N,11.66,2.14,18.353344768439108,3817.091938250429,NAR032519002G-2
NAR032619012,NAR032619012G,20200721,2,gonad,NGA,0.14215,30,70,1.3563,20.9011,20.8672,gn,GNNAR03261903,NAR,20190326,WAL,458,799,NA,M,27,1,4,A,N,A,NA,4,NA,2N,13.16,2.24,17.021276595744684,3551.8638297872344,NAR032619012G-2
NAR032219004,NAR032219004G,20200721,2,gonad,NGA,0.1317,44,54,1.2566,20.8666,20.947,gn,GNNAR03221902,NAR,20190322,WAL,492,1098,NA,M,39.7,1,4,A,N,A,NA,4,NA,2N,19.73,4.1,20.780537252914343,4352.899138367968,NAR032219004G-2
NAR032919015,NAR032919015G,20200803,2,gonad,NGA,0.17915,42,58,1.8477,22.7204,22.758,gn,GNNAR03291903,NAR,20190329,WAL,489,1182,NA,M,23.4,1,4,A,N,A,NA,3,NA,2N,12.11,2.4,19.81833195706028,4510.255986787778,NAR032919015G-2
NAR032519006,NAR032519006G,20200803,2,gonad,NGA,0.17681,32,68,1.7075,21.2473,21.231,gn,GNNAR03251902,NAR,20190325,WAL,475,954,NA,M,31.9,1,4,A,N,A,NA,4,NA,2N,27.24,4.98,18.28193832599119,3881.43832599119,NAR032519006G-2
NAR032519007,NAR032519007G,20200803,2,gonad,NGA,0.16121,42,58,1.6373,22.3288,22.3707,gn,GNNAR03251901,NAR,20190325,WAL,450,858,NA,M,21.7,1,4,A,N,A,NA,4,NA,2N,10.74,2.22,20.670391061452513,4624.111173184357,NAR032519007G-2
NAR032919017,NAR032919017G,20200803,2,gonad,NGA,0.152,29,71,1.6598,24.0124,23.9744,gn,GNNAR03291903,NAR,20190329,WAL,543,1620,NA,M,24.6,1,4,A,N,D,NA,3,NA,2N,11.32,2.49,21.996466431095406,5273.520848056537,NAR032919017G-2
NAR032119003,NAR032119003G,20200804,2,gonad,NGA,0.12561,32,68,1.2368,21.5247,21.5017,gn,GNNAR03211901,NAR,20190321,WAL,476,1044,NA,M,34.2,1,4,A,N,A,NA,4,NA,2N,17.89,3.93,21.967579653437674,4723.403074343209,NAR032119003G-2
NAR032619011,NAR032619011G,20200804,2,gonad,NGA,0.19036,41,59,1.7868,20.6659,20.6963,gn,GNNAR03261903,NAR,20190326,WAL,477,896,NA,M,29.9,1,4,A,N,A,NA,4,NA,2N,14.24,2.75,19.31179775280899,3996.8275983146073,NAR032619011G-2
NAR032519012,NAR032519012G,20200804,2,gonad,NGA,0.18895,31,69,1.7714,20.638,20.6176,gn,GNNAR03251904,NAR,20190325,WAL,475,1027,NA,M,41.3,1,4,A,N,A,NA,4,NA,2N,22.11,4.49,20.30755314337404,4186.930076888286,NAR032519012G-2
NAR032619010,NAR032619010G,20200804,2,gonad,NGA,0.11456,28,72,1.1006,20.9429,20.8841,gn,GNNAR03261903,NAR,20190326,WAL,468,891,NA,M,25.4,1,4,A,N,A,NA,4,NA,2N,10.87,1.85,17.019319227230913,3554.3316467341306,NAR032619010G-2
NAR032919022,NAR032919022G,20200804,2,gonad,NGA,0.12325,26,74,1.1972,21.219,21.1487,gn,GNNAR03291905,NAR,20190329,WAL,503,1184,NA,M,32.4,1,4,A,N,A,NA,3,NA,2N,16.83,2.59,15.38918597742127,3254.6127748068925,NAR032919022G-2
NAR032119014,NAR032119014G,20200804,2,gonad,NGA,0.13945,31,69,1.3379,21.0109,20.9833,gn,GNNAR03211904,NAR,20190321,WAL,479,961,NA,M,28.6,1,4,A,N,A,NA,4,NA,2N,15.32,2.88,18.79895561357702,3944.641253263707,NAR032119014G-2
NAR032719010,NAR032719010G,20200804,2,gonad,NGA,0.15938,31,69,1.4937,20.5704,20.5463,gn,GNNAR03271904,NAR,20190327,WAL,394,450,NA,M,11.9,1,4,A,N,A,NA,3,NA,2N,5.72,0.98,17.132867132867133,3520.1702797202797,NAR032719010G-2
NAR032019005,NAR032019005G,20200805,2,gonad,NGA,0.11516,36,64,1.1474,21.7424,21.7508,gn,GNNAR03201902,NAR,20190320,WAL,457,957,NA,M,13.6,1,4,A,N,A,NA,4,"weird gonads, trip?",2N,5.88,0.87,14.795918367346939,3218.230612244898,NAR032019005G-2
NAR032819007,NAR032819007G,20200805,2,gonad,NGA,0.05948,53,47,0.5723,20.4684,20.7598,gn,GNNAR03281906,NAR,20190328,WAL,372,414,NA,M,5.3,1,4,A,N,A,NA,2.5,NA,2N,1.72,0.18,10.465116279069766,2172.537209302325,NAR032819007G-2
