fishid,tissueid,date,rep,type,personel,weight_sample,fuse_length_unburned,fuse_length_burned,temp_rise,gross_heat_uncorrected,gross_heat_corrected,gear,gearid,waterbody,date_capture,fishspp,tl,ww,wwt,sex,gonww,maturity,goncond,condnet,abnormal,condbloodcoll,meshcolor,meshsize,notes,ploidy,tissueww,tissuedw,percent_DM,ED_ww,id_run
NAR032519010,NAR032519010G,20200925,3,gonad,NGA,0.12165,38,62,1.208,21.6968,21.7205,gn,GNNAR03251904,NAR,20190325,WAL,530,1564,NA,M,30,1,4,A,N,A,NA,4,NA,2N,12.09,2.39,19.768403639371382,4293.796112489662,NAR032519010G-3
NAR032619003,NAR032619003G,20200928,3,gonad,NGA,0.08826,77,23,0.8068,19.7382,20.1965,gn,GNNAR03261903,NAR,20190326,WAL,359,380,NA,M,6.3,1,4,A,N,A,NA,2.5,NA,2N,2.9,0.37,12.758620689655173,2576.7948275862072,NAR032619003G-3
NAR032719014,NAR032719014G,20200928,3,gonad,NGA,0.12682,34,66,1.2592,21.715,21.7074,gn,GNNAR03271906,NAR,20190327,WAL,521,1343,NA,M,28.1,1,4,A,N,A,NA,3,NA,2N,13.17,2.64,20.045558086560366,4351.369476082005,NAR032719014G-3
NAR033019018,NAR033019018G,20200928,3,gonad,NGA,0.13277,35,65,1.3753,22.6979,22.6979,gn,GNNAR03301904,NAR,20190330,WAL,490,1064,NA,M,23.7,1,4,A,N,A,NA,4,NA,2N,11.39,2.49,21.8612818261633,4962.05188762072,NAR033019018G-3
NAR032519005,NAR032519005G,20200928,3,gonad,NGA,0.13711,33,67,1.3225,21.1181,21.104,gn,GNNAR03251902,NAR,20190325,WAL,469,1013,NA,M,28.1,1,4,A,N,A,NA,4,NA,2N,15.85,3.17,20,4220.799999999999,NAR032519005G-3
NAR032919021,NAR032919021G,20200929,3,gonad,NGA,0.1755,40,60,1.7399,21.8188,21.8462,gn,GNNAR03291905,NAR,20190329,WAL,485,1143,NA,M,34.7,1,4,A,N,A,NA,3,NA,2N,17.93,3.6,20.07808142777468,4386.297824874512,NAR032919021G-3
NAR032119010,NAR032119010G,20200929,3,gonad,NGA,0.03657,40,60,0.03675,20.7632,20.8949,gn,GNNAR03211902,NAR,20190321,WAL,379,381,NA,M,4.2,1,4,A,N,A,NA,3,NA,2N,1.62,0.19,11.728395061728394,2450.636419753086,NAR032119010G-3
NAR032719011,NAR032719011G,20200929,3,gonad,NGA,0.0958,36,64,0.8992,20.3422,20.3523,gn,GNNAR03271904,NAR,20190327,WAL,487,976,NA,M,20.4,1,4,A,N,A,NA,4,NA,2N,10.25,1.31,12.78048780487805,2601.1232195121947,NAR032719011G-3
NAR032819002,NAR032819002G,20200930,3,gonad,NGA,0.15108,28,72,1.4498,21.0494,21.0048,gn,GNNAR03281902,NAR,20190328,WAL,468,1112,NA,M,27.3,1,4,A,N,A,NA,3,NA,2N,13.35,2.66,19.925093632958806,4185.226067415731,NAR032819002G-3
NAR032219006,NAR032219006G,20201005,3,gonad,NGA,0.11353,35,65,1.0751,20.6301,20.6301,gn,GNNAR03221904,NAR,20190322,WAL,420,576,NA,M,8.3,1,4,A,N,A,NA,3,NA,2N,3.89,0.67,17.223650385604113,3553.2562982005143,NAR032219006G-3
NAR032819005,NAR032819005G,20201006,3,gonad,NGA,0.10562,28,72,1.0096,20.7882,20.7244,gn,GNNAR03281904,NAR,20190328,WAL,313,199,NA,M,0.01,0,1,A,N,A,NA,2.5,NA,3N,10.9,1.98,18.165137614678898,3764.615779816513,NAR032819005G-3
NAR032019004,NAR032019004G,20200218,1,gonad,BP,0.16139,44,56,1.9782,27.0289,27.0826,gn,GNNAR03201902,NAR,20190320,WAL,527,1263,NA,F,134.5,1,3,A,N,A,NA,4,NA,2N,68.46,26.53,38.75255623721882,10495.199795501025,NAR032019004G-1
NAR032019004,NAR032019004G,20200218,2,gonad,BP,0.18911,38,62,2.3171,27.0748,27.0901,gn,GNNAR03201902,NAR,20190320,WAL,527,1263,NA,F,134.5,1,3,A,N,A,NA,4,NA,2N,68.46,26.53,38.75255623721882,10498.106237218815,NAR032019004G-2
NAR032019004,NAR032019004G,20200129,3,gonad,NGA,0.17382,53,47,2.0729,26.3144,26.4141,gn,GNNAR03201902,NAR,20190320,WAL,527,1263,NA,F,134.5,1,3,A,N,A,NA,4,NA,2N,68.46,26.53,38.75255623721882,10236.138957055218,NAR032019004G-3
NAR032119004,NAR032119004G,20200214,2,gonad,NGA,0.073,33,67,0.8973,26.6355,26.6091,gn,GNNAR03211901,NAR,20190321,WAL,466,893,NA,F,0.8,1,2,A,N,A,NA,4,NA,2N,0.51,0.14,27.450980392156865,7304.458823529413,NAR032119004G-2
NAR032419003,NAR032419003G,20200218,1,gonad,BP,0.11792,32,68,1.3813,25.6694,25.6449,gn,GNNAR03241901,NAR,20190324,WAL,532,1265,NA,F,119.2,1,3,A,N,A,NA,4,NA,2N,61.68,21.44,34.76005188067445,8914.180544747083,NAR032419003G-1
NAR032419003,NAR032419003G,20200130,2,gonad,NGA,0.18139,46,54,2.1212,25.8118,25.8702,gn,GNNAR03241901,NAR,20190324,WAL,532,1265,NA,F,119.2,1,3,A,N,A,NA,4,NA,2N,61.68,21.44,34.76005188067445,8992.494941634242,NAR032419003G-2
NAR032419003,NAR032419003G,20200218,3,gonad,BP,0.14534,43,57,1.6838,25.4825,25.5355,gn,GNNAR03241901,NAR,20190324,WAL,532,1265,NA,F,119.2,1,3,A,N,A,NA,4,NA,2N,61.68,21.44,34.76005188067445,8876.153047989625,NAR032419003G-3
NAR032419006,NAR032419006G,20200220,1,gonad,BP,0.07766,34,66,0.9118,25.4545,25.4421,gn,GNNAR03241903,NAR,20190324,WAL,375,398,NA,F,1.4,0,1,A,N,A,NA,2.5,NA,3N,0.52,0.24,46.15384615384615,11742.507692307692,NAR032419006G-1
NAR032419006,NAR032419006G,20200218,2,gonad,NGA,0.05768,31,69,0.6747,25.0789,25.0121,gn,GNNAR03241903,NAR,20190324,WAL,375,398,NA,F,1.4,0,1,A,N,A,NA,2.5,NA,3N,0.52,0.24,46.15384615384615,11544.046153846153,NAR032419006G-2
NAR032419006,NAR032419006G,20200220,3,gonad,BP,0.06071,20,80,0.7235,25.6242,25.3863,gn,GNNAR03241903,NAR,20190324,WAL,375,398,NA,F,1.4,0,1,A,N,A,NA,2.5,NA,3N,0.52,0.24,46.15384615384615,11716.753846153844,NAR032419006G-3
NAR032419008,NAR032419008G,20200218,1,gonad,NGA,0.03972,36,34,0.4311,22.7023,22.7266,gn,GNNAR03241904,NAR,20190324,WAL,449,870,NA,F,3.2,0,1,A,N,A,NA,4,NA,3N,1.49,0.05,3.3557046979865772,762.6375838926175,NAR032419008G-1
NAR032619001,NAR032619001G,20200217,1,gonad,BP,0.09632,36,64,1.184,26.8456,26.8556,gn,GNNAR03261903,NAR,20190326,WAL,471,944,NA,F,6.9,1,2,A,N,A,NA,2.5,NA,3N,3.04,0.5,16.447368421052634,4417.039473684211,NAR032619001G-1
NAR032619001,NAR032619001G,20200219,2,gonad,BP,0.10693,45,55,1.3189,27.0027,27.0928,gn,GNNAR03261903,NAR,20190326,WAL,471,944,NA,F,6.9,1,2,A,N,A,NA,2.5,NA,3N,3.04,0.5,16.447368421052634,4456.0526315789475,NAR032619001G-2
NAR032619001,NAR032619001G,20200219,3,gonad,BP,0.10952,42,58,1.3487,26.9741,27.0357,gn,GNNAR03261903,NAR,20190326,WAL,471,944,NA,F,6.9,1,2,A,N,A,NA,2.5,NA,3N,3.04,0.5,16.447368421052634,4446.661184210527,NAR032619001G-3
NAR032619006,NAR032619006G,20200220,2,gonad,NGA,0.0658,28,72,0.7006,22.863,22.7606,gn,GNNAR03261903,NAR,20190326,WAL,487,1012,NA,F,2.6,1,2,A,N,A,NA,4,NA,3N,1.11,0.15,13.513513513513512,3075.7567567567567,NAR032619006G-2
NAR032619006,NAR032619006G,20200220,3,gonad,NGA,0.0624,33,67,0.6725,23.1044,23.0735,gn,GNNAR03261903,NAR,20190326,WAL,487,1012,NA,F,2.6,1,2,A,N,A,NA,4,NA,3N,1.11,0.15,13.513513513513512,3118.04054054054,NAR032619006G-3
NAR032619013,NAR032619013G,20200220,1,gonad,NGA,0.04626,33,67,0.5085,23.235,23.1933,gn,GNNAR03261904,NAR,20190326,WAL,489,956,NA,F,1.3,0,1,A,N,A,NA,2.5,NA,3N,0.68,0.13,19.11764705882353,4434.013235294117,NAR032619013G-1
NAR032619013,NAR032619013G,20200220,3,gonad,NGA,0.04021,35,65,0.4573,23.8823,23.8823,gn,GNNAR03261904,NAR,20190326,WAL,489,956,NA,F,1.3,0,1,A,N,A,NA,2.5,NA,3N,0.68,0.13,19.11764705882353,4565.733823529412,NAR032619013G-3
NAR032619014,NAR032619014G,20200218,1,gonad,BP,0.18186,21,79,2.2318,27.1055,27.0314,gn,GNNAR03261904,NAR,20190326,WAL,554,1596,NA,F,238.1,1,3,A,N,A,NA,5,NA,2N,110.26,44.99,40.80355523308544,11029.77222927626,NAR032619014G-1
NAR032619014,NAR032619014G,20200218,2,gonad,BP,0.21135,43,57,2.6049,27.2723,27.3087,gn,GNNAR03261904,NAR,20190326,WAL,554,1596,NA,F,238.1,1,3,A,N,A,NA,5,NA,2N,110.26,44.99,40.80355523308544,11142.920487937605,NAR032619014G-2
NAR032619014,NAR032619014G,20200124,3,gonad,NGA,0.15618,30,70,1.9056,26.8906,26.8598,gn,GNNAR03261904,NAR,20190326,WAL,554,1596,NA,F,238.1,1,3,A,N,A,NA,5,NA,2N,110.26,44.99,40.80355523308544,10959.753328496283,NAR032619014G-3
NAR032619016,NAR032619016G,20200217,1,gonad,BP,0.03123,32,68,0.3486,22.9649,22.8724,gn,GNNAR03261905,NAR,20190326,WAL,397,496,NA,F,2.7,1,2,A,N,A,NA,3,NA,3N,0.92,0.1,10.869565217391305,2486.1304347826085,NAR032619016G-1
NAR032619016,NAR032619016G,20200220,2,gonad,BP,0.04294,52,48,0.452,22.0889,22.4702,gn,GNNAR03261905,NAR,20190326,WAL,397,496,NA,F,2.7,1,2,A,N,A,NA,3,NA,3N,0.92,0.1,10.869565217391305,2442.4130434782605,NAR032619016G-2
NAR032719004,NAR032719004G,20200218,2,gonad,NGA,0.0399,26,74,0.4517,23.7526,23.5354,gn,GNNAR03271903,NAR,20190327,WAL,385,423,NA,F,1.6,NA,2,A,N,A,NA,3,NA,3N,0.73,0.08,10.958904109589042,2579.221917808219,NAR032719004G-2
NAR032719004,NAR032719004G,20200220,3,gonad,BP,0.02431,46,54,0.2669,21.9847,22.4205,gn,GNNAR03271903,NAR,20190327,WAL,385,423,NA,F,1.6,NA,2,A,N,A,NA,3,NA,3N,0.73,0.08,10.958904109589042,2457.041095890411,NAR032719004G-3
NAR032819001,NAR032819001G,20200218,1,gonad,BP,0.17504,13,87,2.1131,26.6453,26.5243,gn,GNNAR03281901,NAR,20190328,WAL,537,1446,NA,F,178.4,1,3,A,N,A,NA,3,NA,2N,96.26,33.39,34.68730521504259,9200.564897153543,NAR032819001G-1
NAR032819001,NAR032819001G,20200128,2,gonad,NGA,0.17763,28,72,2.1364,26.3644,26.3267,gn,GNNAR03281901,NAR,20190328,WAL,537,1446,NA,F,178.4,1,3,A,N,A,NA,3,NA,2N,96.26,33.39,34.68730521504259,9132.022782048618,NAR032819001G-2
NAR032819001,NAR032819001G,20200218,3,gonad,BP,0.17731,14,86,2.1471,26.7331,26.619,gn,GNNAR03281901,NAR,20190328,WAL,537,1446,NA,F,178.4,1,3,A,N,A,NA,3,NA,2N,96.26,33.39,34.68730521504259,9233.413775192186,NAR032819001G-3
NAR032819003,NAR032819003G,20200219,1,gonad,BP,0.18005,33,67,2.1486,26.3437,26.333,gn,GNNAR03281902,NAR,20190328,WAL,607,2382,NA,F,42.6,1,3,A,N,A,NA,3,NA,2N,35.55,13.37,37.60900140646976,9903.578340365682,NAR032819003G-1
NAR032819003,NAR032819003G,20200131,2,gonad,NGA,0.16129,34,66,1.9282,26.3518,26.3458,gn,GNNAR03281902,NAR,20190328,WAL,607,2382,NA,F,42.6,1,3,A,N,A,NA,3,NA,2N,35.55,13.37,37.60900140646976,9908.392292545712,NAR032819003G-2
NAR032819003,NAR032819003G,20200219,3,gonad,BP,0.17085,31,69,2.1148,27.3206,27.2981,gn,GNNAR03281902,NAR,20190328,WAL,607,2382,NA,F,42.6,1,3,A,N,A,NA,3,NA,2N,35.55,13.37,37.60900140646976,10266.542812939522,NAR032819003G-3
NAR032919001,NAR032919001G,20200220,1,gonad,BP,0.06341,38,62,0.676,22.8589,22.9045,gn,GNNAR03291901,NAR,20190329,WAL,482,983,NA,F,3,1,2,A,N,A,NA,2.5,NA,3N,1.29,0.16,12.4031007751938,2840.868217054264,NAR032919001G-1
NAR032919001,NAR032919001G,20200220,3,gonad,BP,0.05108,54,46,0.552,22.9444,23.3026,gn,GNNAR03291901,NAR,20190329,WAL,482,983,NA,F,3,1,2,A,N,A,NA,2.5,NA,3N,1.29,0.16,12.4031007751938,2890.2449612403107,NAR032919001G-3
NAR032919007,NAR032919007G,20200214,2,gonad,NGA,0.0458,32,68,0.4302,19.6411,19.578,gn,GNNAR03291902,NAR,20190329,WAL,372,376,NA,F,0.8,0,1,A,N,A,NA,3,NA,2N,0.37,0.07,18.91891891891892,3703.9459459459463,NAR032919007G-2
NAR032919009,NAR032919009G,20200220,1,gonad,NGA,0.04252,46,54,0.43,21.1462,21.3953,gn,GNNAR03291902,NAR,20190329,WAL,482,900,NA,F,1.8,1,2,A,N,A,NA,4,NA,3N,0.8,0.13,16.25,3476.73625,NAR032919009G-1
NAR032919009,NAR032919009G,20200220,3,gonad,NGA,0.04252,32,68,0.3798,21.3014,21.2232,gn,GNNAR03291902,NAR,20190329,WAL,482,900,NA,F,1.8,1,2,A,N,A,NA,4,NA,3N,0.8,0.13,16.25,3448.7699999999995,NAR032919009G-3
NAR032919014,NAR032919014G,20200217,1,gonad,BP,0.18018,34,66,2.1575,29.0753,29.0694,gn,GNNAR03291903,NAR,20190329,WAL,536,1460,NA,F,221.9,1,3,A,N,A,NA,3,"STOMACH CONTENTS SAVED, FISH REMAINS",2N,112.77,44.99,39.89536224173096,11597.34243149774,NAR032919014G-1
NAR032919014,NAR032919014G,20200217,2,gonad,BP,0.17005,30,70,2.2701,29.4918,29.4634,gn,GNNAR03291903,NAR,20190329,WAL,536,1460,NA,F,221.9,1,3,A,N,A,NA,3,"STOMACH CONTENTS SAVED, FISH REMAINS",2N,112.77,44.99,39.89536224173096,11754.530158730158,NAR032919014G-2
NAR032919014,NAR032919014G,20200123,3,gonad,NGA,0.16517,31,69,1.978,26.4072,26.3839,gn,GNNAR03291903,NAR,20190329,WAL,536,1460,NA,F,221.9,1,3,A,N,A,NA,3,"STOMACH CONTENTS SAVED, FISH REMAINS",2N,112.77,44.99,39.89536224173096,10525.952478496056,NAR032919014G-3
NAR032919024,NAR032919024G,20200218,1,gonad,BP,0.15446,36,64,1.8999,27.1077,27.114,gn,GNNAR03291905,NAR,20190329,WAL,680,3220,NA,F,453.8,1,3,A,N,A,NA,3,NA,2N,248.45,82.02,33.01267860736567,8951.057677601128,NAR032919024G-1
NAR032919024,NAR032919024G,20200218,2,gonad,BP,0.19128,15,85,2.3019,26.5899,26.4892,gn,GNNAR03291905,NAR,20190329,WAL,680,3220,NA,F,453.8,1,3,A,N,A,NA,3,NA,2N,248.45,82.02,33.01267860736567,8744.794461662308,NAR032919024G-2
NAR032919024,NAR032919024G,20200124,3,gonad,NGA,0.17222,38,62,2.0697,26.5172,26.534,gn,GNNAR03291905,NAR,20190329,WAL,680,3220,NA,F,453.8,1,3,A,N,A,NA,3,NA,2N,248.45,82.02,33.01267860736567,8759.584141678406,NAR032919024G-3
NAR033019002,NAR033019002G,20200218,1,gonad,BP,0.13585,36,64,1.6672,26.9903,26.9974,gn,GNNAR03301901,NAR,20190330,WAL,488,1063,NA,F,139.2,1,3,A,N,A,NA,4,NA,2N,69.78,27.17,38.93665806821439,10511.885325308112,NAR033019002G-1
NAR033019002,NAR033019002G,20200218,2,gonad,BP,0.17467,33,67,2.1002,26.5359,26.5248,gn,GNNAR03301901,NAR,20190330,WAL,488,1063,NA,F,139.2,1,3,A,N,A,NA,4,NA,2N,69.78,27.17,38.93665806821439,10327.87067927773,NAR033019002G-2
NAR033019002,NAR033019002G,20200124,3,gonad,NGA,0.18567,41,59,2.2525,26.7985,26.8297,gn,GNNAR03301901,NAR,20190330,WAL,488,1063,NA,F,139.2,1,3,A,N,A,NA,4,NA,2N,69.78,27.17,38.93665806821439,10446.588549727716,NAR033019002G-3
NAR033019003,NAR033019003G,20200219,1,gonad,BP,0.08984,41,59,0.9401,22.8351,22.8998,gn,GNNAR03301901,NAR,20190330,WAL,459,800,NA,F,3,0,1,A,N,A,NA,4,NA,2N,1.54,0.3,19.48051948051948,4460.999999999999,NAR033019003G-1
NAR033019003,NAR033019003G,20200219,2,gonad,BP,0.09247,36,64,0.9745,22.8959,22.9063,gn,GNNAR03301901,NAR,20190330,WAL,459,800,NA,F,3,0,1,A,N,A,NA,4,NA,2N,1.54,0.3,19.48051948051948,4462.266233766233,NAR033019003G-2
NAR033019003,NAR033019003G,20200207,3,gonad,NGA,0.06584,43,57,0.7144,23.3193,23.4363,gn,GNNAR03301901,NAR,20190330,WAL,459,800,NA,F,3,0,1,A,N,A,NA,4,NA,2N,1.54,0.3,19.48051948051948,4565.512987012986,NAR033019003G-3
NAR033019004,NAR033019004G,20200218,1,gonad,BP,0.12722,32,68,1.5607,26.9477,26.925,gn,GNNAR03301902,NAR,20190330,WAL,547,1501,NA,F,176.1,1,3,A,N,A,NA,5,NA,2N,101.48,42.01,41.39731966890027,11146.2283208514,NAR033019004G-1
NAR033019004,NAR033019004G,20200218,2,gonad,BP,0.1741,40,60,2.1428,27.17,27.1976,gn,GNNAR03301902,NAR,20190330,WAL,547,1501,NA,F,176.1,1,3,A,N,A,NA,5,NA,2N,101.48,42.01,41.39731966890027,11259.07741426882,NAR033019004G-2
NAR033019004,NAR033019004G,20200128,3,gonad,NGA,0.17763,42,58,2.1815,27.1179,27.1559,gn,GNNAR03301902,NAR,20190330,WAL,547,1501,NA,F,176.1,1,3,A,N,A,NA,5,NA,2N,101.48,42.01,41.39731966890027,11241.814731966888,NAR033019004G-3
NAR033019006,NAR033019006G,20200220,1,gonad,BP,0.06641,37,63,0.7152,23.1457,23.1747,gn,GNNAR03301902,NAR,20190330,WAL,483,1058,NA,F,3.9,0,1,A,N,D,NA,4,NA,3N,1.95,0.32,16.41025641025641,3803.0276923076917,NAR033019006G-1
NAR033019006,NAR033019006G,20200220,2,gonad,BP,0.08211,32,68,0.893,23.5633,23.5281,gn,GNNAR03301902,NAR,20190330,WAL,483,1058,NA,F,3.9,0,1,A,N,D,NA,4,NA,3N,1.95,0.32,16.41025641025641,3861.0215384615376,NAR033019006G-2
NAR033019006,NAR033019006G,20200218,3,gonad,NGA,0.04591,33,67,0.5095,23.4617,23.4197,gn,GNNAR03301902,NAR,20190330,WAL,483,1058,NA,F,3.9,0,1,A,N,D,NA,4,NA,3N,1.95,0.32,16.41025641025641,3843.2328205128197,NAR033019006G-3
NAR033019010,NAR033019010G,20200217,1,gonad,BP,0.055,13,87,0.5566,21.498,21.1128,gn,GNNAR03301902,NAR,20190330,WAL,381,456,NA,F,1.9,0,1,A,N,A,NA,2.5,NA,3N,1.65,0.15,9.090909090909092,1919.3454545454547,NAR033019010G-1
NAR033019010,NAR033019010G,20200220,2,gonad,BP,0.09202,52,48,0.927,21.8523,22.0302,gn,GNNAR03301902,NAR,20190330,WAL,381,456,NA,F,1.9,0,1,A,N,A,NA,2.5,NA,3N,1.65,0.15,9.090909090909092,2002.7454545454545,NAR033019010G-2
NAR033019013,NAR033019013G,20200130,1,gonad,NGA,0.18272,33,67,2.1561,26.0508,26.0403,gn,GNNAR03301903,NAR,20190330,WAL,512,1043,NA,F,87.5,1,3,A,N,D,NA,4,NA,2N,41.94,14.57,34.74010491177874,9046.427539341918,NAR033019013G-1
NAR033019013,NAR033019013G,20200219,2,gonad,BP,0.16781,39,61,2.0234,26.5907,26.6196,gn,GNNAR03301903,NAR,20190330,WAL,512,1043,NA,F,87.5,1,3,A,N,D,NA,4,NA,2N,41.94,14.57,34.74010491177874,9247.676967095853,NAR033019013G-2
NAR033019013,NAR033019013G,20200219,3,gonad,BP,0.21329,48,52,2.5209,26.1427,26.2014,gn,GNNAR03301903,NAR,20190330,WAL,512,1043,NA,F,87.5,1,3,A,N,D,NA,4,NA,2N,41.94,14.57,34.74010491177874,9102.393848354794,NAR033019013G-3
NAR033019015,NAR033019015G,20200207,1,gonad,NGA,0.07683,51,49,0.7477,20.954,21.1546,gn,GNNAR03301903,NAR,20190330,WAL,493,950,NA,F,4.3,0,1,A,N,D,NA,4,NA,2N,1.88,0.29,15.425531914893616,3263.209574468085,NAR033019015G-1
NAR033019015,NAR033019015G,20200219,2,gonad,BP,0.08643,33,67,0.8845,22.1665,22.1442,gn,GNNAR03301903,NAR,20190330,WAL,493,950,NA,F,4.3,0,1,A,N,D,NA,4,NA,2N,1.88,0.29,15.425531914893616,3415.860638297873,NAR033019015G-2
NAR033019015,NAR033019015G,20200219,3,gonad,BP,0.06914,47,53,0.6844,21.2362,21.4033,gn,GNNAR03301903,NAR,20190330,WAL,493,950,NA,F,4.3,0,1,A,N,D,NA,4,NA,2N,1.88,0.29,15.425531914893616,3301.572872340426,NAR033019015G-3
NAR033019016,NAR033019016G,20200219,1,gonad,NGA,0.0529,36,64,0.6036,24.3407,24.3589,gn,GNNAR03301903,NAR,20190330,WAL,470,849,NA,F,2.3,0,1,A,N,A,NA,4,NA,3N,1.28,0.19,14.84375,3615.77421875,NAR033019016G-1
NAR033019016,NAR033019016G,20200220,2,gonad,NGA,0.04682,30,70,0.4919,23.9781,23.8668,gn,GNNAR03301903,NAR,20190330,WAL,470,849,NA,F,2.3,0,1,A,N,A,NA,4,NA,3N,1.28,0.19,14.84375,3542.728125,NAR033019016G-2
NAR033019016,NAR033019016G,20200220,3,gonad,NGA,0.03694,34,66,0.5252,23.7527,23.7321,gn,GNNAR03301903,NAR,20190330,WAL,470,849,NA,F,2.3,0,1,A,N,A,NA,4,NA,3N,1.28,0.19,14.84375,3522.7335937499997,NAR033019016G-3
NAR040618002,NAR040618002G,20200131,1,gonad,NGA,0.18517,30,70,2.0413,24.3201,24.2941,gn,GNNAR04061802,NAR,20180404,WAL,515,1259,NA,F,49.9,1,5,A,N,A,red,NA,NA,2N,15.82,3,18.963337547408344,4606.9721871049305,NAR040618002G-1
NAR040618002,NAR040618002G,20200219,2,gonad,BP,0.13591,30,70,1.4643,23.638,23.6025,gn,GNNAR04061802,NAR,20180404,WAL,515,1259,NA,F,49.9,1,5,A,N,A,red,NA,NA,2N,15.82,3,18.963337547408344,4475.821744627054,NAR040618002G-2
NAR040618002,NAR040618002G,20200219,3,gonad,BP,0.15306,35,65,1.7092,24.5684,24.5684,gn,GNNAR04061802,NAR,20180404,WAL,515,1259,NA,F,49.9,1,5,A,N,A,red,NA,NA,2N,15.82,3,18.963337547408344,4658.9886219974715,NAR040618002G-3
NAR040618006,NAR040618006G,20200130,1,gonad,NGA,0.18543,33,67,2.1763,25.9135,25.9031,gn,GNNAR04061802,NAR,20180404,WAL,505,1375,NA,F,120.7,1,4,A,N,A,blue,NA,RUNNING EGGS,U,37.25,10.38,27.865771812080535,7218.098738255033,NAR040618006G-1
NAR040618006,NAR040618006G,20200219,2,gonad,BP,0.20593,37,63,2.3967,25.7288,25.7381,gn,GNNAR04061802,NAR,20180404,WAL,505,1375,NA,F,120.7,1,4,A,N,A,blue,NA,RUNNING EGGS,U,37.25,10.38,27.865771812080535,7172.1202147651,NAR040618006G-2
NAR040618006,NAR040618006G,20200219,3,gonad,BP,0.22833,31,69,2.6814,25.9931,25.9763,gn,GNNAR04061802,NAR,20180404,WAL,505,1375,NA,F,120.7,1,4,A,N,A,blue,NA,RUNNING EGGS,U,37.25,10.38,27.865771812080535,7238.4964832214755,NAR040618006G-3
NAR040618024,NAR040618024G,20200123,1,gonad,NGA,0.14691,44,56,1.7297,25.9092,25.9682,gn,GNNAR04061803,NAR,20180404,WAL,510,1390,NA,F,221,1,4,A,N,A,red,NA,NA,2N,123.1,45.41,36.88870836718115,9579.333566206335,NAR040618024G-1
NAR040618024,NAR040618024G,20200217,2,gonad,BP,0.18419,37,63,2.2128,26.5315,26.542,gn,GNNAR04061803,NAR,20180404,WAL,510,1390,NA,F,221,1,4,A,N,A,red,NA,NA,2N,123.1,45.41,36.88870836718115,9791.000974817222,NAR040618024G-2
NAR040618024,NAR040618024G,20200217,3,gonad,BP,0.16382,31,69,1.8256,24.544,24.5204,gn,GNNAR04061803,NAR,20180404,WAL,510,1390,NA,F,221,1,4,A,N,A,red,NA,NA,2N,123.1,45.41,36.88870836718115,9045.258846466286,NAR040618024G-3
NAR040618025,NAR040618025G,20200122,1,gonad,NGA,0.15645,15,85,1.8368,25.8601,25.737,gn,GNNAR04061803,NAR,20180404,WAL,547,1744,NA,F,314.4,1,4,A,N,A,red,NA,"PIC, PLUMP BUT NOT RUNNING",U,156.73,53.62,34.211701652523445,8805.065654309958,NAR040618025G-1
NAR040618025,NAR040618025G,20200217,2,gonad,BP,0.24966,28,72,3.0545,27.1154,27.0884,gn,GNNAR04061803,NAR,20180404,WAL,547,1744,NA,F,314.4,1,4,A,N,A,red,NA,"PIC, PLUMP BUT NOT RUNNING",U,156.73,53.62,34.211701652523445,9267.402590442161,NAR040618025G-2
NAR040618025,NAR040618025G,20200217,3,gonad,BP,0.1261,71,29,1.5566,27.1141,27.389,gn,GNNAR04061803,NAR,20180404,WAL,547,1744,NA,F,314.4,1,4,A,N,A,red,NA,"PIC, PLUMP BUT NOT RUNNING",U,156.73,53.62,34.211701652523445,9370.242965609646,NAR040618025G-3
