fishid,tissueid,date,rep,type,personel,weight_sample,fuse_length_unburned,fuse_length_burned,temp_rise,gross_heat_uncorrected,gross_heat_corrected
NAR032819002,NAR032819002G,20200806,2,gonad,NGA,0.14806,31,69,1.14165,20.9768,20.9508
NAR032219006,NAR032219006G,20200806,2,gonad,NGA,0.10567,35,65,1.0073,20.7288,20.7288
NAR031919001,NAR031919001G,20200806,2,gonad,NGA,0.06163,37,63,0.6532,22.6929,22.7241
NAR032819005,NAR032819005G,20200921,2,gonad,NGA,0.19421,24,76,1.8182,20.6182,20.5637
NAR032019008,NAR032019008G,20200921,3,gonad,NGA,0.14629,36,64,1.4015,21.0016,21.0081
NAR032519011,NAR032519011G,20200921,3,gonad,NGA,0.17181,21,79,1.6355,20.9276,20.8491
NAR032519002,NAR032519002G,20200921,3,gonad,NGA,0.16819,28,72,1.6003,20.91,20.8699
NAR032619012,NAR032619012G,20200922,3,gonad,NGA,0.15406,25,75,1.4815,21.1038,21.0413
NAR032219004,NAR032219004G,20200922,3,gonad,NGA,0.11787,53,47,1.1561,21.4071,21.5542
NAR032919015,NAR032919015G,20200923,3,gonad,NGA,0.11102,35,65,1.0797,21.1884,21.1884
NAR032519006,NAR032519006G,20200923,3,gonad,NGA,0.1199,36,64,1.261,23.0028,23.0108
NAR032519007,NAR032519007G,20200923,3,gonad,NGA,0.12247,50,50,1.2582,22.4684,22.5863
NAR032919017,NAR032919017G,20200923,3,gonad,NGA,0.16708,37,63,1.8194,23.9825,23.9941
NAR032119003,NAR032119003G,20200923,3,gonad,NGA,0.14524,44,56,1.451,21.9148,21.9745
NAR032619011,NAR032619011G,20200924,3,gonad,NGA,0.14886,32,68,1.4102,20.7696,20.7502
NAR032519012,NAR032519012G,20200924,3,gonad,NGA,0.16448,33,67,1.554,20.7527,20.741
NAR032619010,NAR032619010G,20200924,3,gonad,NGA,0.12807,34,66,1.2394,21.1569,21.1494
NAR032919022,NAR032919022G,20200924,3,gonad,NGA,0.15131,29,71,1.4637,21.2235,21.1854
NAR032119014,NAR032119014G,20200924,3,gonad,NGA,0.12894,35,65,1.2478,21.1603,21.1603
NAR032719010,NAR032719010G,20200925,3,gonad,NGA,0.10489,32,68,1.0074,20.886,20.8584
NAR032019005,NAR032019005G,20200925,3,gonad,NGA,0.10798,36,64,1.0894,21.986,21.9949
NAR032719013,NAR032719013G,20200925,3,gonad,NGA,0.10502,49,51,1.0686,22.1636,22.292
NAR032719006,NAR032719006G,20200925,3,gonad,NGA,0.10227,35,65,1.0016,21.2931,21.2931
NAR032519010,NAR032519010G,20200925,3,gonad,NGA,0.12165,38,62,1.208,21.6968,21.7205
NAR032619003,NAR032619003G,20200928,3,gonad,NGA,0.08826,77,23,0.8068,19.7382,20.1965
NAR032719014,NAR032719014G,20200928,3,gonad,NGA,0.12682,34,66,1.2592,21.715,21.7074
NAR033019018,NAR033019018G,20200928,3,gonad,NGA,0.13277,35,65,1.3753,22.6979,22.6979
NAR032519005,NAR032519005G,20200928,3,gonad,NGA,0.13711,33,67,1.3225,21.1181,21.104
NAR032919021,NAR032919021G,20200929,3,gonad,NGA,0.1755,40,60,1.7399,21.8188,21.8462
NAR032119010,NAR032119010G,20200929,3,gonad,NGA,0.03657,40,60,0.03675,20.7632,20.8949
NAR032719011,NAR032719011G,20200929,3,gonad,NGA,0.0958,36,64,0.8992,20.3422,20.3523
NAR032819002,NAR032819002G,20200930,3,gonad,NGA,0.15108,28,72,1.4498,21.0494,21.0048
NAR032219006,NAR032219006G,20201005,3,gonad,NGA,0.11353,35,65,1.0751,20.6301,20.6301
NAR032819005,NAR032819005G,20201006,3,gonad,NGA,0.10562,28,72,1.0096,20.7882,20.7244
NAR032019004,NAR032019004G,20200218,1,gonad,BP,0.16139,44,56,1.9782,27.0289,27.0826
NAR032019004,NAR032019004G,20200218,2,gonad,BP,0.18911,38,62,2.3171,27.0748,27.0901
NAR032019004,NAR032019004G,20200129,3,gonad,NGA,0.17382,53,47,2.0729,26.3144,26.4141
NAR032119004,NAR032119004G,20200214,2,gonad,NGA,0.073,33,67,0.8973,26.6355,26.6091
NAR032419003,NAR032419003G,20200218,1,gonad,BP,0.11792,32,68,1.3813,25.6694,25.6449
NAR032419003,NAR032419003G,20200130,2,gonad,NGA,0.18139,46,54,2.1212,25.8118,25.8702
NAR032419003,NAR032419003G,20200218,3,gonad,BP,0.14534,43,57,1.6838,25.4825,25.5355
NAR032419006,NAR032419006G,20200220,1,gonad,BP,0.07766,34,66,0.9118,25.4545,25.4421
NAR032419006,NAR032419006G,20200218,2,gonad,NGA,0.05768,31,69,0.6747,25.0789,25.0121
NAR032419006,NAR032419006G,20200220,3,gonad,BP,0.06071,20,80,0.7235,25.6242,25.3863
NAR032419008,NAR032419008G,20200218,1,gonad,NGA,0.03972,36,34,0.4311,22.7023,22.7266
