fishid,id,light_type,reading,rep,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,waterbody
NAR071718001,R-NAR071718001,R,CJF_1,1,12,1.15961758907294,0.24195177956201974,0.4177150985933383,0.5306504575921946,0.6345792689013963,0.7154203243131682,0.786969138698638,0.8441510515396842,0.9016186577173779,0.9486512495221806,1.0055474690265795,1.0675183490491005,1.1241288752168521,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718001,R-NAR071718001,R,CJF_2,2,10,1.10323153299209,0.20251959962114857,0.3838981620804729,0.5585577382045501,0.6444210870442474,0.7181456634058507,0.7950067475618168,0.8816311891843424,0.9634854447602181,1.0323283423885412,1.0684295377865145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718001,R-NAR071718001,R,CJF_3,3,10,1.2377420099495875,0.3010360282905021,0.4935173350411014,0.7390809460162568,0.8138105815744303,0.8836691152733595,0.94387632093146,0.9897428480448096,1.057165830814116,1.093244716370146,1.1727545781099031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718002,R-NAR071718002,R,CJF_1,1,10,1.2415364260048607,0.3587685879178015,0.5549544278483567,0.6793226713682743,0.7750186296042891,0.8612179963905052,0.9305701894714402,0.9807010609846434,1.0764426469542845,1.1362069931181673,1.2079789617951782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718002,R-NAR071718002,R,CJF_2,2,9,1.1260867972522326,0.28237557873858815,0.4892181821848637,0.6534550143899259,0.7341918640659684,0.801351041866447,0.872493723285279,0.9506286357694559,1.0235596738699015,1.0855149772866481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718002,R-NAR071718002,R,CJF_3,3,9,1.073933619096176,0.24110816936976087,0.4627411006511537,0.5780285204587572,0.6748986039364706,0.7243824098677606,0.764390787802975,0.8454654454318805,0.9228511532551805,1.0065477213651677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718004,R-NAR071718004,R,CJF_1,1,19,1.853760001382838,0.4818916039031361,0.6453876315103478,0.7489542822825004,0.8480997057981883,0.9470406774387915,1.0177771468205812,1.0898233748915724,1.1594545374592466,1.2176237281355888,1.2808690254129966,1.339038216089339,1.3943419137928483,1.459347397228973,1.4950430715921683,1.578100844084975,1.6367204622308333,1.6873984808027935,1.7563747640258667,1.7995616104934444,NA,NAR
NAR071718004,R-NAR071718004,R,CJF_2,2,17,1.8623923954964692,0.4676797208711464,0.6092567899430869,0.7429639808359771,0.8464809594534541,0.937508206088757,1.037184265822374,1.1239139837647485,1.2010816689906756,1.3280202417339764,1.37916095867855,1.4432480174143663,1.491917644902278,1.5932858591732926,1.6750733982023442,1.7169744075406683,1.7576398721506612,1.808323979286168,NA,NA,NA,NAR
NAR071718004,R-NAR071718004,R,CJF_3,3,19,1.852478141780964,0.43757084311762784,0.6270712819966773,0.7427920333859112,0.8257280416315329,0.9182934304095707,0.9949675382257849,1.0622207645645139,1.1162125695461398,1.1996216375683697,1.2630343240274817,1.3298144905896019,1.384070856292907,1.4272226004672217,1.4961595668574539,1.5513620521139755,1.6321412605314853,1.6943432667157021,1.7553345926250226,1.809326397606649,NA,NAR
NAR071718005,R-NAR071718005,R,CJF_1,1,8,1.2526074513232235,0.4648194881503006,0.621475350377615,0.7974447137409156,0.8666651311877765,0.9604619051290414,1.073457423379517,1.1438910714555477,1.2302280424336067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
