id,reading,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22
R-NAR040418003,CJF_3,10,1.4123480400588595,0.473722039247346,0.6950939263608302,0.8622217865940428,0.9495004566632559,1.0227427181894673,1.1021806327197539,1.1700497925093147,1.2522383840971476,1.3239637954669508,1.4123480400588595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418004,CJF_1,20,1.898131660158471,0.46307666018043747,0.6355646247959309,0.7959126796127665,0.9110996133265102,1.0008369836224509,1.0890779420888446,1.1561109310404036,1.2335397763754006,1.2963311714239918,1.368022011026475,1.4138470304631983,1.4812962761627146,1.5460003397888102,1.6007248037794255,1.6380666354102136,1.693871254482417,1.7505083870505367,1.7933405828281663,1.8557157211287996,1.898131660158471,NA,NA
R-NAR040418004,CJF_2,20,1.9244291566702998,0.46942906306539356,0.625264244462223,0.8009512489509271,0.9275052629329726,1.0007081814699326,1.0852325881961045,1.1541860267860347,1.233530569136327,1.2968075761273496,1.3700104946643092,1.42289639789497,1.4729597728304782,1.5376637314733783,1.5754438587822226,1.6387208657732448,1.7081394965776,1.7539533915660785,1.8059089103678891,1.8625791013311546,1.9244291566702998,NA,NA
R-NAR040418004,CJF_3,20,1.8874949944007895,0.4478470603538453,0.6054928789969384,0.7801821408985606,0.8857541226396495,0.9785435219368415,1.0623364302924085,1.1380823863310705,1.2114605273062364,1.283420391842627,1.3468585347497521,1.409347139032157,1.4647383296223786,1.5139695821485257,1.5717285878022431,1.6242771940166074,1.6801371224208836,1.7307926828841118,1.7814482433473402,1.8373142032499215,1.8874949944007895,NA,NA
R-NAR040418006,CJF_1,13,1.4821899102013036,0.47952961033945735,0.6670464282189824,0.779807047001726,0.8590209765098547,0.9468249585304993,1.0276169366239447,1.093620379053123,1.1472268551787972,1.2025740840448766,1.2666740695785599,1.3325148078526492,1.4010725237976793,1.4821899102013036,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418006,CJF_2,13,1.4175827515827588,0.4680138531959455,0.6261938915237502,0.7257293360737016,0.8107741685116311,0.8981327117261947,0.9758953391693385,1.037535789053593,1.105776298602867,1.1561892672688345,1.2099391647060864,1.2857291540374798,1.3453969658099836,1.4175827515827588,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418006,CJF_3,13,1.4195372600782665,0.37846021333864655,0.6343755159924453,0.7154163579370925,0.7984681941617419,0.8825036781542681,0.9635445200989148,1.0337598807594561,1.0848489463878535,1.1394463273201922,1.2053828627926986,1.2816312062932471,1.3478245783937846,1.4195372600782665,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418007,CJF_1,9,1.227393734005834,0.47694778134707533,0.6360959789479225,0.7449984360171298,0.8053918164777658,0.9021680924803619,0.9452340047894279,1.0293872882699464,1.1179944654811604,1.227393734005834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418007,CJF_2,8,1.2934340199453782,0.5435697151494977,0.6713780154300617,0.7799940351471979,0.8720728308584746,0.9722616267938731,1.0869670372927958,1.1721771645556351,1.2934340199453782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418007,CJF_3,8,1.2825577340240295,0.36702232956144337,0.6402834474714878,0.7569984692749505,0.8480855085782985,0.932018987601222,1.0340332078314165,1.1246225373645005,1.2825577340240295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418009,CJF_1,4,1.0114799230879759,0.38305352091031314,0.502126168521087,0.854505037237232,1.0114799230879759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418009,CJF_2,4,1.0360493344722723,0.5010316652532266,0.6703035664779947,0.8843369589097865,1.0360493344722723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418009,CJF_3,4,1.0659139741385257,0.41306525691262913,0.6968567044437101,0.9138919327990822,1.0659139741385257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418010,CJF_1,5,1.0059123477520147,0.43463098033318887,0.6165745558720381,0.7695997331175394,0.8962752909724063,1.0059123477520147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418010,CJF_2,4,1.005555788821047,0.5997968944503318,0.778262008225636,0.8879547372266534,1.005555788821047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418010,CJF_3,4,1.0081354375534033,0.6235039174046297,0.7674989794704865,0.8967927240920677,1.0081354375534033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418013,CJF_1,4,1.0385186755167928,0.4132444577719444,0.6855091517132443,0.8843088673452524,1.0385186755167928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418013,CJF_2,4,1.0286754132053302,0.43955650334206764,0.6968092631676308,0.8596987661126422,1.0286754132053302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418013,CJF_3,6,1.02122279052899,0.43241612798682627,0.6908413951843806,0.7586163077996567,0.8539741692578495,0.9259302974049046,1.02122279052899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418014,CJF_1,5,0.9953129153344105,0.4873148669657126,0.6515037486692232,0.7991136921327169,0.9084759465595018,0.9953129153344105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418014,CJF_2,5,1.0246874731465225,0.4926366155521314,0.6753242541222267,0.8212428970075336,0.9290368643643384,1.0246874731465225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418014,CJF_3,5,1.0025033620544215,0.4918363908233105,0.6669377215143499,0.8014291080261111,0.9120847886217711,1.0025033620544215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418015,CJF_1,8,1.3601819211016983,0.48390785019021426,0.7532893915867314,0.903573329596802,1.0043737396304606,1.1030840803511013,1.173853374305964,1.2446226682608261,1.3601819211016983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418015,CJF_2,8,1.3793963965680378,0.49145655000726157,0.7737761995787711,0.9332662763047137,1.0281138400993755,1.1229111280304052,1.1897389758764383,1.2824389116540726,1.3793963965680378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418015,CJF_3,8,1.2951742537497084,0.4205347216501303,0.672673036039244,0.8340661624412856,0.9524211218027832,1.0407015124076024,1.1397414447725591,1.21091086490457,1.2951742537497084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418016,CJF_1,6,1.4258775377117756,0.523260815335265,0.8073929726570592,0.948355753538083,1.0959609971417021,1.2457955123484228,1.4258775377117756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418016,CJF_2,6,1.3487148019398205,0.4983800218306579,0.7664669686457316,0.9142658582332843,1.0702111244344172,1.2180100140219705,1.3487148019398205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418016,CJF_3,6,1.3636578278768974,0.5411540216441924,0.7998832883094337,0.9496040807867955,1.1062092977353724,1.2572338965984775,1.3636578278768974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418017,CJF_1,19,1.7779999168371103,0.34289656028977716,0.5231692645920828,0.670083229204651,0.7541107819546558,0.8583568434850865,0.9619722014898565,1.0636486025546956,1.1521847727102223,1.239751464395784,1.293959416391608,1.379925926081543,1.4543523868577932,1.5226700482328945,1.5598598554395446,1.5932185951292823,1.6467958435994454,1.6878635646859574,1.7279618073025036,1.7779999168371103,NA,NA,NA
R-NAR040418017,CJF_2,19,1.797900825576212,0.3632958652762549,0.5263175780925912,0.6743729563323595,0.769425816336673,0.8838409211613533,0.971172018793742,1.0713090950237019,1.170566989204902,1.2445946783247857,1.310116861057442,1.3950967266439205,1.4580768012637533,1.5179218998223725,1.565744763798725,1.612879321793231,1.6515083734005072,1.7062692557334813,1.7399095291485687,1.797900825576212,NA,NA,NA
R-NAR040418017,CJF_3,18,1.7934577943526333,0.36485559136098006,0.5374038078690635,0.674381820136188,0.7868749743183058,0.8904694919280598,0.9848130923924334,1.0873264262346414,1.1557273622249493,1.2475319725327187,1.3075870348586842,1.3854150282808808,1.4596228477789264,1.524755890418101,1.5780990257552907,1.6207334375580424,1.6599238157231508,1.7192499748545869,1.7934577943526333,NA,NA,NA,NA
R-NAR040418019,CJF_1,6,1.3227497152176464,0.5659992568615941,0.8067063597076873,0.9655828683124421,1.1089053472488692,1.2316406387171701,1.3227497152176464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418019,CJF_2,6,1.3084046803797842,0.5504061010323456,0.7866986709411843,0.9393883122710193,1.0906324617597702,1.215083409637109,1.3084046803797842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418019,CJF_3,6,1.3613972645566663,0.5893302607549699,0.8218794119616797,0.9930984570978361,1.1075626582241151,1.242835057922973,1.3613972645566663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418020,CJF_1,3,0.7578726688568551,0.3990937654837657,0.631981368273432,0.7578726688568551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418020,CJF_2,3,0.7514098418356372,0.387982926227874,0.6246810771961324,0.7514098418356372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418020,CJF_3,3,0.7195028812667099,0.3362858181032385,0.5789088827164313,0.7195028812667099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418023,CJF_1,3,0.7770823270460926,0.3486298375489416,0.6036929569891121,0.7770823270460926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418023,CJF_2,3,0.7504841943967382,0.3148664888975516,0.5923436349637512,0.7504841943967382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R-NAR040418023,CJF_3,3,0.7683600174934395,0.3171138773203667,0.586734352547045,0.7683600174934395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
