fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7
JUM101521J001,JUM,CJF_1,CJF,1,R,R-JUM101521J001,4,0.9848016850998714,0.4418594242865489,0.6281821086120252,0.7771722123686003,0.8756145507740285,NA,NA,NA
JUM101521J001,JUM,CJF_2,CJF,2,R,R-JUM101521J001,4,0.8773128921423158,0.3891135388042791,0.5481221310422484,0.6722213494499113,0.7544186269564453,NA,NA,NA
JUM101521J001,JUM,CJF_3,CJF,3,R,R-JUM101521J001,4,0.9825601811972648,0.4392586961955217,0.6648720490049664,0.7760628952722713,0.8842959760293037,NA,NA,NA
JUM101521J002,JUM,CJF_1,CJF,1,R,R-JUM101521J002,4,0.894799739578876,0.39229176699943524,0.5597944245259158,0.6924977841961597,0.8094008271718391,NA,NA,NA
JUM101521J002,JUM,CJF_2,CJF,2,R,R-JUM101521J002,4,0.8637361644503082,0.4106257880851143,0.5620595350141364,0.667471239570856,0.7874414283615593,NA,NA,NA
JUM101521J002,JUM,CJF_3,CJF,3,R,R-JUM101521J002,4,0.9660283849862396,0.4524968229995742,0.6290232974324902,0.7445150328783157,0.850272319534541,NA,NA,NA
JUM101521J003,JUM,CJF_1,CJF,1,R,R-JUM101521J003,2,0.8974459721024729,0.4962662268415635,0.7384933901795987,NA,NA,NA,NA,NA
JUM101521J003,JUM,CJF_2,CJF,2,R,R-JUM101521J003,2,0.874140659806681,0.5143578077478733,0.7227589952206899,NA,NA,NA,NA,NA
JUM101521J003,JUM,CJF_3,CJF,3,R,R-JUM101521J003,2,0.8967343972209392,0.5177643755820184,0.7382769875094729,NA,NA,NA,NA,NA
JUM101521J004,JUM,CJF_1,CJF,1,R,R-JUM101521J004,4,0.9680583377052451,0.42737996495334485,0.5840053883849222,0.6865489581275596,0.817538489123478,NA,NA,NA
JUM101521J004,JUM,CJF_2,CJF,2,R,R-JUM101521J004,4,0.9863051144787552,0.47375091271400144,0.6259953578557333,0.7420078804685623,0.8584177476208188,NA,NA,NA
JUM101521J004,JUM,CJF_3,CJF,3,R,R-JUM101521J004,4,0.8991507041708744,0.38361942976633345,0.5405867723644818,0.6852733528816697,0.7951587255970063,NA,NA,NA
JUM101521J005,JUM,CJF_1,CJF,1,R,R-JUM101521J005,3,1.0654369390718967,0.5173468659310775,0.7092727207336793,0.8735110842692955,NA,NA,NA,NA
JUM101521J005,JUM,CJF_2,CJF,2,R,R-JUM101521J005,3,1.0341286363438071,0.5210417138745892,0.7244223983636422,0.881507370995959,NA,NA,NA,NA
JUM101521J005,JUM,CJF_3,CJF,3,R,R-JUM101521J005,3,1.0259605917963375,0.4828888322125152,0.7152588798294612,0.8845211715945622,NA,NA,NA,NA
JUM101521J006,JUM,CJF_1,CJF,1,R,R-JUM101521J006,0,0.4227791197330807,NA,NA,NA,NA,NA,NA,NA
JUM101521J006,JUM,CJF_2,CJF,2,R,R-JUM101521J006,0,0.4488771875766455,NA,NA,NA,NA,NA,NA,NA
JUM101521J006,JUM,CJF_3,CJF,3,R,R-JUM101521J006,0,0.46196896100189633,NA,NA,NA,NA,NA,NA,NA
JUM101521J007,JUM,CJF_1,CJF,1,R,R-JUM101521J007,0,0.4740797371091962,NA,NA,NA,NA,NA,NA,NA
JUM101521J007,JUM,CJF_2,CJF,2,R,R-JUM101521J007,0,0.5172039527150347,NA,NA,NA,NA,NA,NA,NA
JUM101521J007,JUM,CJF_3,CJF,3,R,R-JUM101521J007,0,0.5218466420831408,NA,NA,NA,NA,NA,NA,NA
JUM101521J008,JUM,CJF_1,CJF,1,R,R-JUM101521J008,0,0.39089936951592164,NA,NA,NA,NA,NA,NA,NA
JUM101521J008,JUM,CJF_2,CJF,2,R,R-JUM101521J008,0,0.40974874042543596,NA,NA,NA,NA,NA,NA,NA
JUM101521J008,JUM,CJF_3,CJF,3,R,R-JUM101521J008,0,0.4486905454377977,NA,NA,NA,NA,NA,NA,NA
JUM101521J009,JUM,CJF_1,CJF,1,R,R-JUM101521J009,0,0.4078465191063356,NA,NA,NA,NA,NA,NA,NA
JUM101521J009,JUM,CJF_2,CJF,2,R,R-JUM101521J009,0,0.3377528653445077,NA,NA,NA,NA,NA,NA,NA
JUM101521J009,JUM,CJF_3,CJF,3,R,R-JUM101521J009,0,0.41580684571717363,NA,NA,NA,NA,NA,NA,NA
JUM101521J010,JUM,CJF_1,CJF,1,R,R-JUM101521J010,0,0.40076204330772763,NA,NA,NA,NA,NA,NA,NA
JUM101521J010,JUM,CJF_2,CJF,2,R,R-JUM101521J010,0,0.4585476798043404,NA,NA,NA,NA,NA,NA,NA
JUM101521J010,JUM,CJF_3,CJF,3,R,R-JUM101521J010,0,0.4431445592306781,NA,NA,NA,NA,NA,NA,NA
JUM101521J0100,JUM,CJF_1,CJF,1,R,R-JUM101521J0100,0,0.37302154291639444,NA,NA,NA,NA,NA,NA,NA
JUM101521J0100,JUM,CJF_2,CJF,2,R,R-JUM101521J0100,0,0.3856231890216358,NA,NA,NA,NA,NA,NA,NA
JUM101521J0100,JUM,CJF_3,CJF,3,R,R-JUM101521J0100,0,0.4203939519824718,NA,NA,NA,NA,NA,NA,NA
JUM101521J011,JUM,CJF_1,CJF,1,R,R-JUM101521J011,0,0.42966238116778366,NA,NA,NA,NA,NA,NA,NA
JUM101521J011,JUM,CJF_2,CJF,2,R,R-JUM101521J011,0,0.41837349526782636,NA,NA,NA,NA,NA,NA,NA
JUM101521J011,JUM,CJF_3,CJF,3,R,R-JUM101521J011,0,0.45945790746032,NA,NA,NA,NA,NA,NA,NA
JUM101521J012,JUM,CJF_1,CJF,1,R,R-JUM101521J012,0,0.4690486581542613,NA,NA,NA,NA,NA,NA,NA
JUM101521J012,JUM,CJF_2,CJF,2,R,R-JUM101521J012,0,0.5023711546362805,NA,NA,NA,NA,NA,NA,NA
JUM101521J012,JUM,CJF_3,CJF,3,R,R-JUM101521J012,0,0.4117355139531958,NA,NA,NA,NA,NA,NA,NA
JUM101521J013,JUM,CJF_1,CJF,1,R,R-JUM101521J013,0,0.6158500653518525,NA,NA,NA,NA,NA,NA,NA
JUM101521J013,JUM,CJF_2,CJF,2,R,R-JUM101521J013,0,0.5920017780586521,NA,NA,NA,NA,NA,NA,NA
JUM101521J013,JUM,CJF_3,CJF,3,R,R-JUM101521J013,0,0.5417832224087749,NA,NA,NA,NA,NA,NA,NA
JUM101521J014,JUM,CJF_1,CJF,1,R,R-JUM101521J014,0,0.43866920395695835,NA,NA,NA,NA,NA,NA,NA
JUM101521J014,JUM,CJF_2,CJF,2,R,R-JUM101521J014,0,0.45930790573775027,NA,NA,NA,NA,NA,NA,NA
JUM101521J014,JUM,CJF_3,CJF,3,R,R-JUM101521J014,0,0.4965923339037024,NA,NA,NA,NA,NA,NA,NA
JUM101521J015,JUM,CJF_1,CJF,1,R,R-JUM101521J015,5,1.0638613731238178,0.4469140224414404,0.6106529444124168,0.7449025140543026,0.8655884118107346,0.986274309567166,NA,NA
JUM101521J015,JUM,CJF_2,CJF,2,R,R-JUM101521J015,5,1.1302011272565025,0.4964299390710215,0.6729860498507942,0.8091955569800817,0.9476685480797139,1.0369194662191987,NA,NA
JUM101521J015,JUM,CJF_3,CJF,3,R,R-JUM101521J015,5,1.0713227301534232,0.47085936960589214,0.6350066791230702,0.8001619275439966,0.8866907307579462,0.9821298308826165,NA,NA
JUM101521J016,JUM,CJF_1,CJF,1,R,R-JUM101521J016,5,0.9553932257863962,0.4336245231500014,0.5858740419539317,0.6978296840328564,0.7859738635192494,0.8571755771187516,NA,NA
JUM101521J017,JUM,CJF_1,CJF,1,R,R-JUM101521J017,6,1.086315021297034,0.43106511920436497,0.5855266510862328,0.7201267194780336,0.8388792428360224,0.910089131092576,1.025035864785514,NA
JUM101521J017,JUM,CJF_2,CJF,2,R,R-JUM101521J017,6,1.1411848873428945,0.4292369719790744,0.6379601873231474,0.7806786801722716,0.9097892701881334,0.9747124992513805,1.0601228345276656,NA
JUM101521J017,JUM,CJF_3,CJF,3,R,R-JUM101521J017,6,1.1248800254035476,0.4684184925244239,0.6156062669114503,0.7320165706934691,0.8512041518718371,0.9256141658408676,1.0336357826225466,NA
JUM101521J018,JUM,CJF_1,CJF,1,R,R-JUM101521J018,3,0.9030748139234164,0.44068171322624883,0.6242978844999101,0.7761519061872617,NA,NA,NA,NA
JUM101521J018,JUM,CJF_2,CJF,2,R,R-JUM101521J018,3,0.9099853109495254,0.4693296915164232,0.6211819837380095,0.7892582539529237,NA,NA,NA,NA
JUM101521J018,JUM,CJF_3,CJF,3,R,R-JUM101521J018,3,0.9483040441487006,0.4938195903593781,0.682946393062362,0.830985751008491,NA,NA,NA,NA
JUM101521J019,JUM,CJF_1,CJF,1,R,R-JUM101521J019,4,0.9935521874171344,0.4813144836423582,0.6871369720456361,0.7680435572229776,0.894040469455827,NA,NA,NA
JUM101521J019,JUM,CJF_2,CJF,2,R,R-JUM101521J019,4,0.9669455897781035,0.47428289190964373,0.6207057523346151,0.7407393480855973,0.8630323719112595,NA,NA,NA
JUM101521J019,JUM,CJF_3,CJF,3,R,R-JUM101521J019,4,1.0288816340940816,0.47717445976699147,0.6440357640771832,0.7892744087626474,0.9083184293573022,NA,NA,NA
JUM101521J020,JUM,CJF_1,CJF,1,R,R-JUM101521J020,6,1.0791724133621516,0.4941876006934064,0.639740404899438,0.7475193918687937,0.8348512634703549,0.9034691625858673,0.9980785325892729,NA
JUM101521J020,JUM,CJF_2,CJF,2,R,R-JUM101521J020,6,1.0779533711274247,0.4696855144849063,0.644544613181422,0.7482030869461441,0.8443835831202966,0.9156241675074339,0.994302770029797,NA
JUM101521J020,JUM,CJF_3,CJF,3,R,R-JUM101521J020,6,0.9266120741592656,0.35222279516189453,0.5144402033504163,0.6291906014064227,0.7305176513626673,0.795310486379544,0.8618192391423887,NA
JUM101521J021,JUM,CJF_1,CJF,1,R,R-JUM101521J021,2,0.9986812801901761,0.618023531392742,0.8367352835941149,NA,NA,NA,NA,NA
JUM101521J021,JUM,CJF_2,CJF,2,R,R-JUM101521J021,2,0.9030660780215998,0.5107734703728962,0.7096669075646217,NA,NA,NA,NA,NA
JUM101521J021,JUM,CJF_3,CJF,3,R,R-JUM101521J021,2,0.9090969510771671,0.5474009070200139,0.7404073634703233,NA,NA,NA,NA,NA
JUM101521J022,JUM,CJF_1,CJF,1,R,R-JUM101521J022,6,1.297743490796221,0.5650312681990108,0.7495062013370254,0.8888378985196708,1.0245747482411431,1.1221021053834535,1.2081253743592517,NA
JUM101521J022,JUM,CJF_2,CJF,2,R,R-JUM101521J022,6,1.2972545847406112,0.549640762626667,0.7374908212763588,0.9069621836152273,1.0390709854630418,1.1239709090388594,1.2186912495175584,NA
JUM101521J022,JUM,CJF_3,CJF,3,R,R-JUM101521J022,6,1.216371267741917,0.506014357415586,0.6927105098597863,0.8532240114339303,0.9721859991872301,1.066102814748187,1.148637103051017,NA
JUM101521J023,JUM,CJF_1,CJF,1,R,R-JUM101521J023,4,1.0920517047366927,0.5240731577044034,0.689148383974617,0.8315614573956327,0.9620092834048071,NA,NA,NA
JUM101521J023,JUM,CJF_2,CJF,2,R,R-JUM101521J023,4,1.1072704444005832,0.5479824400918079,0.7066614966060881,0.87650503121913,1.0014084812007136,NA,NA,NA
