fishid,id,light_type,reading,rep,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,waterbody
NAR031919001,R-NAR031919001,R,CJF_1,1,8,1.2229121386854584,0.4323909414584799,0.6030690146381937,0.7296659917161487,0.8422296028622446,0.9415855229566702,1.0259835076753068,1.126329926922824,1.2229121386854584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR031919001,R-NAR031919001,R,CJF_2,2,8,1.2672388017881335,0.46582781356552233,0.6687432162524839,0.7749943365965573,0.8990181002287793,0.9767877517085279,1.0556793907632667,1.156984357756434,1.2672388017881335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR031919001,R-NAR031919001,R,CJF_3,3,8,1.265501339315458,0.49578101965345767,0.6767882620514906,0.7888354321856224,0.8926271721577625,0.9881634819679104,1.091160916800684,1.1856815846899273,1.265501339315458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR031919002,R-NAR031919002,R,CJF_1,1,12,1.453645837139119,0.3813148646621391,0.5829754096397004,0.7450852422368379,0.8852459975986479,0.9768349935000917,1.0666621533423806,1.125576336927055,1.1887808145443057,1.2769032863850955,1.3426933700334236,1.3921460475233671,1.453645837139119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR031919002,R-NAR031919002,R,CJF_2,2,12,1.4699300829822006,0.3686927891900145,0.6074959142523989,0.7574844653358423,0.883796177085644,1.0028119344538697,1.0971334866254718,1.156132682378094,1.2194814408344787,1.2809011734760294,1.352703301802889,1.4091419110406638,1.4699300829822006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR031919002,R-NAR031919002,R,CJF_3,3,12,1.5387027084077112,0.4705159948714503,0.6422727352413626,0.8304182493252491,0.9567904641849269,1.06779545906942,1.1548910102265857,1.215251501245164,1.2740469743963787,1.3707063030444748,1.4165689181649244,1.4765381547166618,1.5387027084077112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR031919003,R-NAR031919003,R,CJF_1,1,6,1.0799362261937149,0.49865114293713836,0.6934413819765267,0.820946472390727,0.896962175430488,0.9904389872993953,1.0799362261937149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR031919003,R-NAR031919003,R,CJF_2,2,7,1.033956912902824,0.4439672016225833,0.5808087546624416,0.684347699159536,0.7690183653273381,0.8532526333815706,0.949652677868469,1.033956912902824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR031919003,R-NAR031919003,R,CJF_3,3,6,1.0934152086142948,0.5479652531212169,0.6925854632071449,0.8132831829527254,0.9077681500843184,0.9944422802483456,1.0934152086142948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019001,R-NAR032019001,R,CJF_1,1,8,1.2214489402311415,0.41370383833535807,0.593135824488106,0.7268845071148098,0.8315555349656523,0.9342890002027996,1.0345252211207232,1.1322784132898596,1.2214489402311415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019001,R-NAR032019001,R,CJF_2,2,9,1.2249029370531588,0.4145436912351629,0.5744545013803452,0.6962244487461894,0.775207473077888,0.8421251303104023,0.9145173329055095,1.0019639926390327,1.1199883126744106,1.2249029370531588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019001,R-NAR032019001,R,CJF_3,3,9,1.2198660980375657,0.4230102983382278,0.5790137678525418,0.6974683599309262,0.7940981766100448,0.8697813586659187,0.937427880768994,1.0497817994847778,1.1400747334862145,1.2198660980375657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019002,R-NAR032019002,R,CJF_1,1,6,0.9330396931452561,0.4244041123325808,0.5431337279712969,0.6650079016014003,0.7519985242195146,0.8480067533762068,0.9330396931452561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019002,R-NAR032019002,R,CJF_2,2,6,0.9243441105600788,0.3932449044120631,0.5194595268874971,0.6417942562760918,0.7265839867741868,0.8309484916810919,0.9243441105600788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019002,R-NAR032019002,R,CJF_3,3,6,0.8999457270749848,0.36383209798617483,0.49049409749313944,0.6263811670340084,0.724316207390016,0.808666551982093,0.8999457270749848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019003,R-NAR032019003,R,CJF_1,1,7,1.3223065436770587,0.5203845706194156,0.7713752758618654,0.9248419755289726,1.0473953711561912,1.1640557505542695,1.2781407798024498,1.3223065436770587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019003,R-NAR032019003,R,CJF_2,2,7,1.2971625751835298,0.5122113505261899,0.7209727785749899,0.8836642062705089,1.0108929573717707,1.1183830544175342,1.2393930394760684,1.2971625751835298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
